payload,sentiment,mocker
" 

I have just enrolled in a Ph.D. program and can not apply for this job.
I will be glad to work with you in the future and look forward to meeting with you on another occasion.


Gabriela Romero

",negative,Sol
"


Either way, I'm writing to ask you about your latest post on
LinkedIn about new corresponding AI positions; I even consider
my profile is more suited to that than web or mobile software development.
",positive,Wendy
" 

Hi Wendy,

I am not interested in this position since it is not compatible with my professional profile, but it could also enhance my set of skills, is there any prior training in this job?

Best wishes,

Mario

",neutral,Sol
"Good Morning:

My name is David Vargas Flores,
 I am interested in applying for the
Software Developer position
 I currently work in a private security company
where we develop projects for the C5i around
 of the continent.

 I did my previous job at CIATEQ,
 a public research center where
 carry out special projects from the stage
 from research to product manufacturing
 for various national and international clients.

 On the other hand, I have experience
 working on projects with technologies
 vehicles in Germany,
 specifically developing the
 obstacle detection system
 for autonomous vehicles and a system
 of road assistance using V2X and OBDII.
 Where I collaborated with Dr. Raúl Rojas 
 backed in the lab from Autonomous University Systems



Any questions, comments I am at your service.

I wish you an excellent day, Thank you very much for your attention.

 

David Vargas",positive,sam
" 

Dear recruiter,

I am very thankful for your email, unfortunately, I am considering another job. 
Could you elaborate on the benefits of this job?

Best regards.

Martha D.

",neutral,Sol
"Helo, find attached my resume,

 
Regards,",neutral,sam
" 

I have to decline since my work visa has expired.
",negative,Sol
"

Good morning Samantha, I hope you are well.

I wanted to ask you about the dynamics to apply for a job
  in the company you work for,
specifically in the area of software development.

Also is the job available, for any age range?
  in my case I am 48 years old today.

I'll wait for your response.

Greetings and take good care",negative,sam
"Good evening Samantha,
 
  My name is Brayan Cuevas Arteaga
I am an electronic engineer with a master's degree in
artificial intelligence,
I have seen the job offer on the Internet and
I have experience in Machine Learning
and the topics related to the position,
  I hope and have the opportunity to review my CV
which you´ll find attached in English and Spanish.
Thank you very much in advance.",neutral,sam
"Good afternoon.
 
I saw your job position
  in Indeed and please find my resume
attached,
I am very interested in the position.

 
Regards.",positive,sam
"
PLS. Call this number xxxxxxx I’ll like to work in the US.
",positive,Wendy
"
Greetings Wendy Barajas,

I want to know if there are currently job openings in Tekmexico,

Thanks in advance,
",positive,Wendy
"Greetings, 

I've read through the job description and find that
it matches my profile perfectly. I would love to try to
interview for it if it is still available. I would also
be interested in any other such positions should I not be chosen
but something comes up in the future.

Regards.",positive,Ivan
"Hello,

My name is Auraham Camacho.
  I contact you regarding
to the developer position
  in machine learning described in

  [one].Find attached my CVU.

Awaiting your comments.

Regards.",neutral,sam
"Hi Samantha, 

How are you? I hope all about you're Ok,
 I'd like send you my CV for to be considered to:
 Software Developer / AI and Machine learning.

I'm systems engineer,I have a master's degree
 in quality engineering and a diploma in 
cybersecurity applied to business. 
Now I looking for a job in GDL and 
I'm very interesting in your vacant. 

Can you let me know if you'd consider my CV? 

Regards.",positive,sam
"Dear Randy Johnson:

I very much appreciate your consideration for the DevOps Engineer with Zalando. After further thought, I have decided to withdraw my application for the position.

It was a pleasure meeting you. I appreciate the time you spent discussing the opportunity with me, as well as the information you shared on the job and the company.

Thank you for your time and consideration. I wish you success in finding the perfect candidate to fill this position.

Best regards,
David Ortiz",negative,Salvador
"Hello,

The job position looks great but it seems that the contract if only for a few months.
Would it be possible to get an extension or a permanent contract after the time ends?

regards.",neutral,Ivan
"Hello,

Thank you very much for the information. If only I had known sooner but unfortunately
I just started a new project and I cannot go back on that commitment. I hope I can
be considered for future opportunities once I become available again. 

Regards. ",negative,Ivan
"
I'll think about it
",neutral,Wendy
"Good afternoon

Find attached my resume to apply for the published vacancy,
I tell him that I have the master's degree completed with ID and certificate.
Also as experience in a national physics, 
  in my high school period,
Mathematics accreditations at university level with an average of 92.5",positive,sam
"Hi, good afternoon 
I'm able to the required position en USA, 
but I'd like to know if with the COVID-19
 problem is now possible to travel 
if this could be a remote position.

Thank you.",neutral,sam
"Greetings,

I attached my CV to apply 
for the software developer position

Thanks in advance,",positive,sam
"
I want to know more about the benefits
",neutral,Wendy
"
Can you tell me a little more about the offer here?
",neutral,Wendy
" 

I am a jr developer and would like to apply for this position that you are offering.  I am available for an interview if you require so.

Kind regards,
the penguin.
",positive,Sol
"

I'm going to have to pass up the offer, they increased my salary
",negative,Wendy
"Hello Samantha,

My name is Lakshmi Tejeda, I have a master's 
degree in Chemistry with a bachelor's degree 
in Nanotechnology and software programming in high school.

I don't have a master's degree in physics or mathematics,
 but I have knowledge in both, from classical physics to
 quantum physics, also have knowledge in software 
programming languages of C ++ and Java.
And last but not least, mastery of the english language.

Best regards

MC. Lakshmi Tejeda",positive,sam
"Hi,

The description for the position looks great. I would be interested
in learning more about it and perhaps interviewing for it.",positive,Ivan
"Dear Mrs. Robinson:
 
Thank you for meeting with me last week to discuss the role of the marketing department. I enjoyed our conversation and was so intrigued by the projects that are in the works at Ku-bot company. 

I am writing today to withdraw myself from consideration for the position, however, since I was offered a role at another company and accepted the job offer. 

Thank you again for your time and consideration. 
Best,
Joe Black",negative,Salvador
"Dear Joe,

Thank you for offering me the position of Web Developer. I will take the job offer. I am willing to contribute to the company's growing ambitions.

As we discuss previously, I agree with the monthly income of $ 9,500 and all the benefits after 2 months. Additionally, I need assistance with relocation as we both agreed.

Please, feel free to contact me if I need to send further documentation. I look forward to meeting you and the team on July 6, 2021.

Best regards,
Salvatore Falconi",positive,Salvador
"Hello,

The job requirements do fit my profile but I'm not that sure I
would like to make the change. My current job is about the same
and I was more interested in changing my field to Machine Learning
rather than staying were I am. If you have any positions related to
this I would love to be considered. My profile has been updated
with the skills I've been acquiring to make this move.

I hope I can hear from you again if something else opens up. ",negative,Ivan
"Hi,

I'm really interested in this job offer but the timing isn't great.
If it would be at all possible to maybe start in 3 months from now I would
really like to interview for this position. If that is not possible then I
sincerely hope you can keep me in mind for something else that might open up
later on. ",neutral,Ivan
" 
Hi,
Thank you for your email.
I have already accepted a job offer from Company X.
Best,
L.",negative,Sol
"Hi,

Regarding the job opening, I don't think it would be a great fit for me at this time.
I'm still getting familiar with some of the requirements but perhaps in the future.

Regards.
",negative,Ivan
"Dear Dr. Prof. Weismann,  

I would like to thank you for extending me the soft professor teaching position at the Mathematical Analysis department at Technical University Wien. I am pleased to officially accept the offer and begin working with the team.

As discussed, I agreed with the teaching hours scheduled for the coming semesters and the research activities I will conduct. I will send all documentation to begin the hiring procedure.

Please let me know if there is anything I can provide before my start date on January 23, 2019. 

Thanks again!
Dra. Sarah Martinez",positive,Salvador
"Good afternoon Samantha,
I have a missed call from you, yesterday.
I am available for any matter to discuss
Best regards,
Eder",positive,sam
"
I like the proposal, I want to know more about the Hosting that they offer.
",neutral,Wendy
"Dear Samanta Medina,

Good day. I saw the job position for IntekGlobal SA de CV,
which requests professional programmers
with a science-related mastery in the Glassdoor application.
  This application showed me this email as a contact for position mentioned.
I am a recent graduate of the master of computer science CICESE. 
Find attached my C.V.
I would appreciate any information or consideration regarding the position.

I remain at your service,

Cesar Miguel",positive,sam
"Dear Miss Medina:

My name is Guillermo López Hinojosa.

I recently found the job offer for
 ""Physico-Mathematical with
  Master / Bilingual "",
and I consider that my experience and
  background meet the
requirements stipulated for the position.

Find attached my CV.",positive,sam
"
Could we talk in 3 months after my contract ends?
",neutral,Wendy
"Hello, hope you are well.

The position you are offering is something I would definitely consider.
I hope to be considered for an interview and find out if
the company and I are as good a fit as I suspect we will be. 
",positive,Ivan
" 

I am looking for a more generous salary, I would consider the interview if you can increase the salary by 10%.

Best,
Mrs. Moana 
",neutral,Sol
"

I’m interested Here’s my CV





",positive,Wendy
"

I send my CV. I hope my profile suits the needs of the company. I must emphasize that I programmed a prototype of the particle detector of the V0 + of the Alice network in Mexico using C ++



",positive,Wendy
" 
to whom it might concern,

today  I am working in a company located in Arizona. I am interested in the job position and would like to apply given that if in case I get the position I could start in September instead of July.

kind regards,

Summer Sanchez
",neutral,Sol
"Good morning, please find
I attach my CV for the position of physicist-mathematician.

A cordial greeting,
Ignacio",positive,sam
"Good afternoon, I hope you are very well.

The reason for this mail to extend a cordial greeting,
  in addition to send you my CV for the Position described in the
  mail subject.

My name is Alvaro Moreno, I have worked as
Project and Initiative Management Engineer
of Innovation and Technological Projects for 2 years,
and as a developer of integration projects
technology and engineering for another 2 years.

I have used various technologies from
that are mentioned in the job description,
and I have worked on various innovation projects,
so it could be of interest to the company.

Without further ado for the moment, I appreciate your time and attention,
  and I remain pending.

Cheers,
ASM
",neutral,sam
"Dear Ms. Montagne,

Thank you very much for offering me the position of Network Administrator at The Spiderweb. The opportunity looks very interesting, and I am sure that I would find the position rewarding.

Before I come with my final decision, I am hoping that we can discuss the possibility of adding an 8% commission to my base salary, as my 15-year track record and agenda of contacts will enable me to bring additional revenue to the company. Please let me know if we can discuss this.

Thank you for your consideration.

Respectfully yours,
Suzanne Pavilion",neutral,Salvador
"

I'm not looking for a job
",negative,Wendy
"Goodnight,

My name is Franz Lake, and I write because
I am interested in the job offer 
as an AI, Machine Learning / Web Developer.
Find attached my CV in both English and
Spanish,
Thank you.

Regards.",positive,sam
"Hello,

The ML position looks good but I was wondering if the work was more
theoretical or practical? I've done my share of research but would really 
like to apply my knowledge to solve some domain specific problems. Will these
opportunities be available? ",neutral,Ivan
"Dear Mr. Jones,

I sincerely appreciate your consideration for the account manager position with your firm. I regret to inform you that I must withdraw my application for the job. My wife has received an attractive promotion with her company that will require relocation to another state, and we will be moving at the end of the summer.

Thank you for the time you spent reviewing my qualifications and meeting with me.

Best regards,
Shaun Murphy
555-862-15756
shaun_mur@mymail.com",negative,Salvador
" 

 I am not interested, please stop sending emails or will be forced to act against you legally.

",negative,Sol
"Dear Sir,

I am very pleased to hear from you and I am interested in the position that your company is offering. I am available and gladly send you any information you require.

Kind regards,

Federico Coyne

",positive,Sol
"
I am listening to offers call my number xxxxxxx
",neutral,Wendy
"
Wendy

I am only writing to let you know that I will not continue in the selection process since I am going to study the Doctorate
",negative,Wendy
"hello,

The job description you sent seems interesting. If the offer still stands
I would like to interview for it.",positive,Ivan
" 

To whom it might concern,

I hope this email finds you well.
I appreciate your e-mail, I am very interested in this job position and would like to make myself available for a future interview.

With vest regards,
Mr. Polite

",positive,Sol
"
I want to know more about the vacancy
",neutral,Wendy
"Dear Samantha Medina

Last Tuesday March 3 you called me
and you agreed to send me the necessary information
for the job position of a physical-mathematical
  which I applied to in OCC.

I am interested in the information
  and the developing work in the company
where you work INTEKGLOBAL TECHNOLOGIES.


I am at your command through the
email or my cell number
For any information.

Cheers",negative,sam
" 

I am interested in this job position and would like to be considered for an interview.
Thank you,
Y.
",positive,Sol
"
Greetings,

Thank you. I attached my CV
",positive,Wendy
"Good afternoon,

My name is Edson Álvarez.
I am currently looking for a job.
  I saw an ad in occ.com.mx they are looking for
posgraduate staff and I'm interested
to participate in the selection process.
I have a master's degree in engineering and
experience in food industries
in development departments,
production and quality. I attached my CV.
Thanks for your time and attention.
Regards.",negative,sam
"Hello,

I'm not interested in this position but if you have any openings for a more senior role 
I would definitely like to hear about it. ",negative,Ivan
"

Wendy! 

My current contract is done, I’m ready to interview whenever you like.
",positive,Wendy
" 
to whom it might concern,

I am currently working in a tech company in California State, in any case, I am interested in the job position offer.
",positive,Sol
"Hi!

I am interested and would love to follow up on the offer.",positive,Ivan
"Hi,

The job description mentions a training period. For how long is this period? What
sort of projects will I be working on? 

Regards.",neutral,Ivan
"Hello,

Regarding the job position, I would be interested in interviewing for this role 
as it matches my profile and I believe my strengths can be put to good use.

Regards.",positive,Ivan
"Dear Samantha Medina,

I hope you are well receiving this email.
I have seen through Linkedin a job position,
titled Physico-Mathematical with master's degree /
Bilingual and I am interested in it.
Please find attached my CV,

I'll wait for any comments.

Dr. Rafael Aguilar González",positive,sam
" 

I received gladly this email, please find attached my cv  

",positive,Sol
"
I like the idea we can talk in April



",neutral,Wendy
"Hi,

The job description looks great but unfortunately
due to personal reasons I can't make the move at this time.
Perhaps some time in the future I will be available so I would still
like to be considered for a future position. I can also refer some 
colleagues who would be interested in this position if you'd like.",negative,Ivan
" 

thank you for your email. At this moment I am no interested in this particular job.
Many thanks,
Mr. Lopez

",negative,Sol
"Good day,

I am writing to you for the vacancy
that they have published, currently
  I reside in Querétaro with a
  Master in Artificial Intelligence,
  which I did at the University
Autonomous of Querétaro.
I am open to any contact
  if they so desire. I attach my CV.
Best regards",positive,sam
" 
Dear X,

I would like to consider to apply for his job offer, please find attached my cv.
Let me know if you have further inquiries about my professional background.

Kind regards,
Mark Ruffalo
",positive,Sol
"Dear Mr. Andrews,

Accept this email as my formal acceptance of the offered position as Cloud Architect. I thank you for the opportunity, and I look forward to applying my talents to the position.

As the offer letter displays and as we previously discussed on the phone, I accept the starting salary of $68,000 with in-lieu work after three months.

I will be meeting the team on July 1, 2020. If you require any additional information from me before then, please let me know. You can reach me at (556) 896-6302 or better by email at sjackson@cloudservices.com.

Thank you again for allowing me to demonstrate my value.
Sincerely,
Samuel L. Jackson",positive,Salvador
"good morning

I would like to know the details
of the job position as well as the process
to apply for it,
I am in my last semester of doctorate
in science with a focus on applied physics
in photonics, I attach my cv in English for more details,
any questions or comments you have, just let me know.
Thanks in advance for your attention and time.

Cheers",negative,sam
"Dear Dr. Eva Braun,

Thank you for your offer of the position of Technical Specialist for the Witten Solutions Company. I am positively impressed with the depth of knowledge of your development team and believe that my experience will contribute to maximizing the profitability of the department.

I would like to talk with you regarding the salary and benefits you have offered before I could make a final decision. I feel that with the skills, experience, and contacts in the industry that I would bring to Witten, further discussion of my compensation would be appropriate.

Sincerely,
Adolf Gitler",neutral,Salvador
" 
I am not available for this position.
",negative,Sol
" 

to whom it may concern,

I am interested and would like to get an interview for this job as soon as possible. BU first I want to know more about the benefits the job offers. 

Mr. P

",neutral,Sol
"

",negative,Wendy
"
I am a graduate of CICESE in the area of ​​telecommunications and digital signal processing, I am looking for a job, if you have any attached CV vacancy.
",positive,Wendy
"

My name is Manuel Combarro Simón, we spoke a little while ago, I am sending you my updated CV, I have not worked as such in artificial intelligence, but I have seen some courses and made simple classifiers.

Cheers,

",positive,Wendy
"

Dear Wendy,

I inform you that I have spoken with my girlfriend, we have reached some agreements. I inform you that I will be able to accept the job offer
",positive,Wendy
"Find attached my CV , I hope it is for your interest.",neutral,sam
" 

I am available for working only from home, if the job position is flexible with this I am happy to be considered for an interview.

Mrs, House

",neutral,Sol
"Hi good day.

I am Angel Trujillo Gallegos,
and I'm interested in working on your team,
I saw the AI ​​Machine Learning ad about a new position
 
I have extensive experience in systems integration,
knowledge in RP systems, knowledge of servers,
and web development, including a specialization
in software engineering, I also have
knowledge of business rules, entrepreneurship,
 personnel management, project and platform development,
 I also have a master's degree in electronics and computing
 with focus and specialization in artificial intelligence,
 with machine learning methodologies,
for process automation and data analysis,
 I also have a certification of industrial processes
 made in south korea. I'm in total
willingness to work, including abilities
 to travel since I have a valid passport and
 the possibility of relocation (if necessary),
 I currently live in Monterrey Nuevo León.

I would like to have a longer talk 
 to let you know about all my experiences and
knowledge for the position, I attached
 to this email and I'll be available at my phone
 3323486788.
Greetings and
 have a good day",negative,sam
"Hello good afternoon


My name is José Antonio Martínez,
I'm 29 years old, I'm single,
I live in Montemorelos NL, and I would like
participate for the job position available, 
I am available, for learning and traveling.
I am here for any other information you need.
My cell number is 4432178324
I attach my resume.

I would like to work in the United States
I'd like to meet that country

I do not speak English but I can learn over time.
I just want to work. 😔",negative,sam
"Good afternoon:

My name is Alejandro Estrella,
I'm interested in the job offer
Find my CV attached at your disposal,

Best regards,
Cheers",positive,sam
"Greetings,

The job position would be great for me if only I could choose my own work location.
Due to personal reasons I currently cannot be away too ofter or for too long. 

Does the job offer remote work options?
Is it possible to take sick days/personal days?

Regards

",neutral,Ivan
"

Sounds good to me, I will consult with my family
",neutral,Wendy
" 

I would like to be considered for this position.
May I ask about some salary specifics and benefits.

Best,
Mrs. Money 
",positive,Sol
"Hello,

I appreciate the consideration you have given me but I must decline. 
Best of luck on your search.

",negative,Ivan
" 

your job offer is not compatible with my goals carrier.

",negative,Sol
" 
Dear recruiter

thank you for getting in touch with me. I am interested in this job position. But  I haven't finished my bachelor's program and can not meet the arrival day. 

Many thanks,
S.
",negative,Sol
" 

Thank you for your email.
should I qualify for this job, I'll be glad to schedule an interview.

Marry S.

",positive,Sol
"Dear Mrs. Cecilia Cole,

I was amazed to get your phone call yesterday. I am writing to formally accept your employment offer for the Social Media Manager position at Cloudy Company. Thank you for the opportunity.

As we agreed, my starting salary will be $52,800 per year with two weeks of paid time off. I understand that health and dental benefits will be available after ninety days of employment.

If there’s anything you need from me prior to that start date, or any documents I should bring on my first day, just let me know. I’m eager to dig in and get started on November 6, 2017.
Thanks again,

Paul LeMahiue",positive,Salvador
"Hello Samantha,

I contact you
to send you my resume,
which I would like it to be considered
  for the AI position.

I will appreciate if you confirm me
you have received this email.",positive,sam
" 

Hi Sam,

thank you for contacting me, Does this job requires me to move to California?

thanks,

G.
",neutral,Sol
" 

thank you for considering me for this position,  I am sorry to inform you that I have taken a job in south lake city and will be moving next week.

",negative,Sol
"Hi Samantha:

I'm writing to you to show you
 my interest to work as a software
 developer at Interglobal.
 I saw the convocation trough CICESE. 
I already have some experience as 
a developer. I attach my CV.

Regards,
Efren",neutral,sam
" 

I don't want to work full time, is it possible that this offer comes in a half time job?

",neutral,Sol
"Good afternoon,

See the attached CV below
for the offer published in
https://www.computrabajo.com.mx/empresas/ofertas-de-trabajo-de-intekglobal-BAFDBAB90287CA83/oferta-de-trabajo-de-fisicomatematico-con-maestria-bilingue-en-estados-unidos-3F85D6E6F762871361373E686DC

Cheers
Magdiel A. F.",neutral,sam
"Hello good afternoon

I send my CV to apply for any position in Intekglobal.

Cheers
Marlenne Banos Leal",negative,sam
"Hello Samantha:

Wishing you are having a great day
despite these days of quarantine.
I was wondering if there was any news
  about the diagnostic examination and / or the
  opportunities to be part of your team.

Thank you very much and sorry for the inconvenience.

Cheers,
Guillermo",neutral,sam
"Good afternoon


I am writing to you because I'm interested in the 
selection proces of the published vacancy;
I consider that I have the necessary capacities to develop an 
eficient work for you.
I would like to have more information about employment.
  I have a completed master's degree, I did my thesis defense satisfactorily,
  but I'm not done with the titling process.
  I am available to give more information as required.


I appreciate your attention and send you a greeting.",neutral,sam
"Hello,

The information I've received looks great but I have a few questions.

Would I be able to pick my work location? If not immediately, what are the odds
of being granted a transfer?

What does the career path look like for someone with my skills? 

I look forward to hearing back. Regards.",neutral,Ivan
" 

Dear recruiter,

I had severe flu and was not able to reply earlier. I am aware that the deadline is already past but if the position is still available please consider my cv.
I am available for an interview.

Best regards,
Mr. M
",neutral,Sol
"
Thank you, Wendy,

But I’m not accepting  any offers 
",negative,Wendy
"Dear Samantha.

I am a CICESE graduate, I saw the ad in
  the job board and I would like
  know what it is about.

Thank you.",neutral,sam
"Dear Samantha Medina, 

Hoping you are well, please find attached my resume,
  I'm at your service.
Best regards.
Quetzalcoatl Ornelas García.",neutral,sam
"My name is Brayan Cuevas Arteaga
  I am an Electronic Engineer with
Master in Electrical Engineering
(instrumentation and digital systems),
  my last job was as Mr. Engineer
  at Motorola Solutions Inc, I hope and
  you have a chance to check my
resume annex in Spanish and English.
  Thank you very much in advance!",positive,sam
"Hi,

Tho position mentions the need for 5+ years of experience in Java. Does the job require
server side java or will there be a lot of desktop application development? My
experience has been mainly towards mobile/web. On server side I've mainly worked with Go.

Is there freedom to choose the technologies we work with? ",neutral,Ivan
"
I am interested in this position
",positive,Wendy
"

My English is not good enough 
",negative,Wendy
"Hello Samantha,

I am writing to inquire about employment
Intekglobal in which they request
Expert programmers with master's degrees in science.
That it appeared that they need Physicists / Mathematicians.
But I would like to know in which areas or disciplines.
Since I'm a physicist with a master's degree in science
which I program in C / C ++ CUDA, Python, Matlab / octave,
I use GIS and I do data series analysis,
I have used the TensorFlow but for scientific projects.
Could you guide me what they specifically need.

Coordinating greetings,",neutral,sam
"
I am writing to you because of the vacancy ""IT consultation Firm"". I have a PhD in Materials Science and Engineering, with extensive experience in C ++. I attach my CV in case the vacancy is still valid.

",positive,Wendy
"Hi,

The position matches my profile and the location 
is ideal. Unfortunately it does not meet my current
financial requirements. If the salary is not negotiable 
then I cannot accept. ",negative,Ivan
"Dear  Ms. Medina:    

I’m writing to you because I’m interested in applying
 for your open “AI, Machine Learning / Web Developing” position.
 I am finishing my studies in machine learning/object detection
 and want to apply my skills in the real world. I believe the description
 of the qualifications and proficiencies match with my experience and
 I can be a valuable asset to the organization. For example:

  • Experience in YOLO and Caffe frameworks.
  • Experienced with Matlab, C/C++, CUDA, Python, Java, 
    Linux Command Line.
  • Experience developing Machine Learning methods 
   such as Neural Networks.
  • Experience in Object Detection / Machine Learning
    with published papers.

I have attached my resume in for your consideration. 
I hope you will learn more about my background. If I can provide
you with any further information please let me know, 
I would love to talk to you in more detail regarding this 
or any other position.
Thank you for your time and consideration

Sincerely,


Sergio Cruz",positive,sam
"Hello,

I read the description and I really liked it. Please consider me
for an interview at your soonest convenience. ",positive,Ivan
" 

Thank you very much for sharing this opportunity with me, but I was recently hired as an analyst in Mexico City. However, I do not close afterwards to the possibility of working in the United States later. I hope to keep in touch.
",negative,Wendy
