,payload,sentiment,mocker
321,"i am willing work  in your esteem organization.
hence, i am submitting my resume for your kind consideration.
i am currently working as an senior asstt.
(admin.
& academic) at maharaja agrasen university, baddi, distt.
solan (hp), where i perform many of the tasks required for preparing documents for affiliation from various concerned govt.
authorities like hpperc, ugc, pharmacy council of india, council of architect, aicte.
prior to this i worked as executive secretary to chairman at shree siddhivinayak group of institution, shahpur, bilaspur, distt.
yamuna nagar, where i performed administrative tasks as well as preparing documents various inspection kuk, aicte.
through my experiences at ssgi i have developed my administration skills learnt to work as an integral member of a team, and maintained the highest standards of professionalism.
i have also developed my computer skills, becoming familiar with company databases and honing my typing abilities in english and hindi languages.
i have strong communication and interpersonal skills, a friendly and professional manner, and an excellent command of microsoft word, excel and powerpoint.
i also have exceptional attention to detail, with an ability to prioritise and juggle multiple tasks.
i hope you will kindly consider my cv and give a chance to work in your organization.







",1,Enrique
100,"Dear Mr. Andrews,

Accept this email as my formal acceptance of the offered position as Cloud Architect. I thank you for the opportunity, and I look forward to applying my talents to the position.

As the offer letter displays and as we previously discussed on the phone, I accept the starting salary of $68,000 with in-lieu work after three months.

I will be meeting the team on July 1, 2020. If you require any additional information from me before then, please let me know. You can reach me at (556) 896-6302 or better by email at sjackson@cloudservices.com.

Thank you again for allowing me to demonstrate my value.
Sincerely,
Samuel L. Jackson",1,Salvador
54,"Hello,

The job requirements do fit my profile but I'm not that sure I
would like to make the change. My current job is about the same
and I was more interested in changing my field to Machine Learning
rather than staying were I am. If you have any positions related to
this I would love to be considered. My profile has been updated
with the skills I've been acquiring to make this move.

I hope I can hear from you again if something else opens up. ",0,Ivan
5,"first, i want to thank you for the offer to work for Montgomery PLC as a Barrister's clerk.
i was excited about the chance to join the team there, but something unexpected came up, and i
won’t be able to go forward with the job as planned.
i wish i didn’t have to back out like this.
i want to stay connected via linkedin, and i hope we cross paths again in the future.",0,Enrique
30," 

I have to decline since my work visa has expired.
",0,Sol
192,"
hi pfa., my updated profile for reference.

i have rich experience on the mvc frameworks (struts 1.2 &2, jsf 1.2&2) , orm frameworks (hibernate & jpa) , webservice (rest & soap) and spring.
i got good banking/retail domain knowledge and involved in various/all phases in the software development life cycle.
also got good exposure to oracle db/sql where involved in creating procedures and done packages for complex systems.
involved in the performance tuning in both java and oracle sides.
here by i have attached my latest updated profile, can you please look into this and revert back if my skills suits.







",1,Enrique
27,"Good Morning:

My name is David Vargas Flores,
 I am interested in applying for the
Software Developer position
 I currently work in a private security company
where we develop projects for the C5i around
 of the continent.

 I did my previous job at CIATEQ,
 a public research center where
 carry out special projects from the stage
 from research to product manufacturing
 for various national and international clients.

 On the other hand, I have experience
 working on projects with technologies
 vehicles in Germany,
 specifically developing the
 obstacle detection system
 for autonomous vehicles and a system
 of road assistance using V2X and OBDII.
 Where I collaborated with Dr. Raúl Rojas 
 backed in the lab from Autonomous University Systems



Any questions, comments I am at your service.

I wish you an excellent day, Thank you very much for your attention.

 

David Vargas",1,sam
340,"please find the attached cv document as requested by you over our previous
conversation.







",1,Enrique
89," 
to whom it might concern,

I am currently working in a tech company in California State, in any case, I am interested in the job position offer.
",1,Sol
82,"i would like to thank you again for offering me the position of sales associate at ghb
company.
i genuinely appreciate the time you spent with me and your consideration for
the position.
i have spent some time reconsidering your job offer and i have concluded that this job is
not the best fit for my skills and experience.
i believe it is in the best interests of both
myself and the company to turn down the job offer.
i am very sorry for any
inconvenience that this may cause.
i enjoyed learning more about your company and i wish you and your sta much
success in the future.",0,Enrique
255,"i'm really pleased to receive a message from you regarding the job
opportunity.
this job really feels like a great opportunity for me and would love to be
a part of the company.
i have a vast experience in implementing a wide variety of frameworks and
technologies in machine learning and deep learning.
apart from my job experiences in solving complex problems, i have also done
many certifications and side-projects.
please go through my attached resume as well as my github and linkedin to
get a brief idea of my profile.







",1,Enrique
34,"
PLS. Call this number xxxxxxx I’ll like to work in the US.
",1,Wendy
59,"Good afternoon Samantha,
I have a missed call from you, yesterday.
I am available for any matter to discuss
Best regards,
Eder",1,sam
62,"Dear Miss Medina:

My name is Guillermo López Hinojosa.

I recently found the job offer for
 ""Physico-Mathematical with
  Master / Bilingual "",
and I consider that my experience and
  background meet the
requirements stipulated for the position.

Find attached my CV.",1,sam
66,"

I’m interested Here’s my CV





",1,Wendy
73,"Goodnight,

My name is Franz Lake, and I write because
I am interested in the job offer 
as an AI, Machine Learning / Web Developer.
Find attached my CV in both English and
Spanish,
Thank you.

Regards.",1,sam
102,"i wanted to thank you again for your letter offering me Landscape architect at Miranda-Payne.
i appreciate the time you and the rest of the name of company team spent with me outlining this opportunity.
while i certainly recognize the benefits of working at name of company, after thoughtful consideration i regretfully decline this offer.
as we discussed, reason for declining i am choosing not to accept your offer at this time.
i hope our paths will cross again in the near future, and wish you and name of company continued success.
thank you again for your time and consideration.",0,Enrique
25,"


Either way, I'm writing to ask you about your latest post on
LinkedIn about new corresponding AI positions; I even consider
my profile is more suited to that than web or mobile software development.
",1,Wendy
120,"i would like to take a moment to thank you for extending me an offer for the Conference centre manager within Williams and Sons.
after careful thought and consideration for the role, salary, responsibilities, and the company; i have come to the decision to decline the job offer presented to me.
your company has a bright future ahead, however i have accepted another position that is within a more commutable distance from my home.
i appreciate taking the time to have met with you and all interviewers.
i am truly grateful to have received this opportunity to join your team and thank you for your time and support throughout this process.",0,Enrique
9," 
I have just enrolled in a PhD program and can not apply for this job.
I will be glad to work with you in the future and look forward to meet with you in another ocassion.

Gabriela Romero
",1,Sol
93,"thank you  for offering me the position of office assistant with carolina solar services.
i appreciate you taking the time to consider me for the role and for answering my
questions about the company and the position.
after much consideration, i will not be accepting the position as it does not fit the path i am taking
to achieve my career goals.
i am currently seeking for a position that would allow me to directly employ my knowledge of solar
energy in thefield so that i can reach my career goals of being a solar technician.
if a position of
this nature becomes available in the future, i would appreciate being considered for such a role.
again, thank you for your consideration, and i wish you all the best.",0,Enrique
19,"i would like to express my appreciation for
including me in the interview process for your
accountant position.
i enjoyed meeting with you
and learning more about your company.
however, i have accepted another employment",0,Enrique
64,"Hello, hope you are well.

The position you are offering is something I would definitely consider.
I hope to be considered for an interview and find out if
the company and I are as good a fit as I suspect we will be. 
",1,Ivan
58,"thank you so much for offering me the Nature conservation officer position.
after carefully considering
the compensation package outlined in your offer, i must regretfully decline.
the
salary does not meet the financial requirements of my current situation.
it was a pleasure meeting you and learning about your company.
i wish you
continued success and hope we will have the opportunity to work together in the
future.",0,Enrique
21,"


Hi wendy barajas, i received your email, im interested in a developer position. i wait for your comments. Regards.
",1,Wendy
352,"
hello sir, thanks for your mail.

i would love to share my resume with you.
attached below is my resume for your reference.







",1,Enrique
90,"Hi!

I am interested and would love to follow up on the offer.",1,Ivan
330,"hope all is well and thank you for reaching out.
i would like to discuss further on the opportunity and hereby attaching my updated cv for your review.
let me know the best time to reach you.







",1,Enrique
145," 

Thank you very much for sharing this opportunity with me, but I was recently hired as an analyst in Mexico City. However, I do not close afterwards to the possibility of working in the United States later. I hope to keep in touch.
",0,Wendy
94," 

I received gladly this email, please find attached my cv  

",1,Sol
83,"Dear Samantha Medina

Last Tuesday March 3 you called me
and you agreed to send me the necessary information
for the job position of a physical-mathematical
  which I applied to in OCC.

I am interested in the information
  and the developing work in the company
where you work INTEKGLOBAL TECHNOLOGIES.


I am at your command through the
email or my cell number
For any information.

Cheers",0,sam
5,"Greetings,

The job opportunity looks great and I would normally jump at it but at
this time it would be difficult to make the change. I would love
to hear about other openings in the future if you would consider me again. ",0,Ivan
135,"please find the attached resume for the position and let me know if you
need any further information.







",1,Enrique
158,"thanks for sharing me the opportunity on naukri.
i am a recruitment and training expert, csm, crm and ops professional with more than 10 years of experience managing customer care & support, client relationship, servicing & retention, sales (inside & direct), marketing, business operations and development, customer support & training, operations in voice, email and chat process at various organization throughout my career.
after reading about the oppurtunity, i am very confident that the vacancy is a perfect match for my experience, abilities and knowledge.
i believe that i can make a valuable contribution to your organizations present & future projects and initiatives and because of my success in various multiple environments, i am confident i can do the same as a member of your team.
my recent employment as a customer relationship manager at bloomkonnect and specialist at azuga telematics pvt ltd, i have achieved an average of 80% sales growth and 100% csat.
i have also successfully introduced new product lines and recruited & trained sales & support teams  across globe.
as a crm, customer support, bd & marketing manager, i feel that my biggest strengths are my ability to grow revenue per customer as well as retaining existing clients by motivating sales teams and ensuring they focus on the needs of our target audience.
i would welcome an opportunity for a personal interview to discuss your organizations needs and the results you can expect from me in addressing those needs.
please feel free to call me on my cell phone: +91-7338554875 so you can arrange an interview time that fits your schedule.
please find my attached updated resume and i look forward very much to hearing from you.







",1,Enrique
170,"my name is pushkar patil and i am searching job in data science and machine
learning.
i have done training in the data science and machine learning of
4 months.
i am sending my resume for this job application.
if you satisfied
with my profile then send me an updates as soon as possible.







",1,Enrique
37,"please accept this letter as confirmation of my resignation from the position of Community arts worker
at Wright Inc, effective from one month from today’s date, January 15, 1984.
i am very thankful for the opportunities, guidance and ongoing support you have provided me.
thank you again, and i wish you and Wright Inc all the best for the future.",0,Enrique
61,"Dear Samanta Medina,

Good day. I saw the job position for IntekGlobal SA de CV,
which requests professional programmers
with a science-related mastery in the Glassdoor application.
  This application showed me this email as a contact for position mentioned.
I am a recent graduate of the master of computer science CICESE. 
Find attached my C.V.
I would appreciate any information or consideration regarding the position.

I remain at your service,

Cesar Miguel",1,sam
104,"first, i want to thank you for the offer to work for Martinez PLC as a Plant breeder/geneticist
i was excited about the chance to join the team there, but something unexpected came up, and i
won’t be able to go forward with the job as planned.
i wish i didn’t have to back out like this.
i want to stay connected via linkedin, and i hope we
cross paths again in the future.",0,Enrique
35,"
Greetings Wendy Barajas,

I want to know if there are currently job openings in Tekmexico,

Thanks in advance,
",1,Wendy
15,"

My name is Karla Ramírez and I saw the vacancy ""Master in Physical Sciences"" posted on the site.

I want to be considered for the selection process. I attach my CV in English; I already sent my data in Spanish through the website.

I meet the requirements listed. In addition, I have extensive experience in serving international clients and I have a high sense of responsibility.

I appreciate you confirm received. Awaiting your comments.
",1,Wendy
92,"Hello,

Regarding the job position, I would be interested in interviewing for this role 
as it matches my profile and I believe my strengths can be put to good use.

Regards.",1,Ivan
202,"i am interested in the opportunity .
my profile is attached for your
review.
looking forward to hear from you.







",1,Enrique
71,"unfortunately, i am going to need to withdraw my employment.
i
apologize for this inconvenience and i realize this puts the company
in a challenging position to make a replacement.
i wouldn’t have made
this choice unless it was for serious reasons.
i hope this doesn’t diminish the opportunity for us to work together in
the future.",0,Enrique
186,"i would like to apply for the account manager role in your company.







",1,Enrique
91,"thank you for offering me the role of assistant manager at Gonzalez, Turner and Carter.
after much consideration, i
regret to inform you that i am declining your offer.
while i believe that your company would be an
excellent place to work due to its outstanding safety profile, i have accepted another role that i think is
more closely aligned with my career goals at this time.
i thoroughly enjoyed meeting you and the rest of the team.
you and the rest of the interviewers were
courteous and supportive, and i wish i could have accepted the offer, but circumstances have prevented
me from doing so.
i am confident that you will find the right candidate, and they will be fortunate to work
at Gonzalez, Turner and Carter.
i wish you and your company all the best.",0,Enrique
48," 

I am a jr developer and would like to apply for this position that you are offering.  I am available for an interview if you require so.

Kind regards,
the penguin.
",1,Sol
52,"Dear Mrs. Robinson:
 
Thank you for meeting with me last week to discuss the role of the marketing department. I enjoyed our conversation and was so intrigued by the projects that are in the works at Ku-bot company. 

I am writing today to withdraw myself from consideration for the position, however, since I was offered a role at another company and accepted the job offer. 

Thank you again for your time and consideration. 
Best,
Joe Black",0,Salvador
76,"i’d like to thank you very much for offering me the position of Equities trader with Brown-Landry.
after much consideration, i have decided to accept a position with another company.
i sincerely appreciate you taking the time to interview me and for offering me this role.
i wish you all the best in finding someone suitable for the position.",0,Enrique
164,"please find my resume for chandigarh location as an attachment.







",1,Enrique
27,"thank you very much for offering me the position of Runner at Pennington-Pearson.
unfortunately, i have decided not to accept the
position, as it isn’t the right fit for me at this time.
i truly appreciate the offer and your consideration.
thank you again for your time and i wish you all the best in finding
someone suitable for the position.",0,Enrique
42,"i want to thank you very much for offering me the role
of International aid/development worker at Travis, Johnson and Nelson.
i appreciate that you
interviewed a number of candidates and will have
spent much time reaching your decision.
i was very impressed by Travis, Johnson and Nelson, which
made my decision a difficult one.
after careful
consideration, however, i have taken the decision to
decline your offer of employment.
the reason is that i
have been offered a different role at a more senior
level, and with a greater opportunity to develop
management skills.
i enjoyed meeting you and your colleagues, who were
friendly and professional throughout.
i would like to
wish you and your company the very best for the
future and i thank you again for your time.",0,Enrique
94,"thank you again for taking the time to interview me last week, it was great to meet the team and
learn about the company.
i enjoyed learning about the swamp cleaner position, and i appreciate
your generous offer.
while this position seems like a great opportunity, i have decided that now is not the best time to
leave my current position.
once again, i would like to express my gratitude for the offer and my regrets that it did not work
out.
thank you for your time and i wish you the best in finding another candidate to ll the
position.",0,Enrique
105,"although you have been most encouraging in outlining
future development prospects inside King, Barton and King, i have accepted one other alternative
that’s extra in step with my abilities and profession objectives.
i loved assembly you and the remainder of your group.
you have been most type and gracious
all through the interview course of, and i solely want that circumstances allowed me to settle
for your provide.",0,Enrique
110,"thank you so much for offering me the Sales professional position.
after careful consideration, i have decided to accept a different position and won’t be able to accept this offer.
i appreciate the time spent interviewing me and introducing me to your organization throughout this process, and Mills PLC sounds like a fantastic company.
it was a difficult decision, and i wish you success in finding the right person for your role.",0,Enrique
143,"Dear  Ms. Medina:    

I’m writing to you because I’m interested in applying
 for your open “AI, Machine Learning / Web Developing” position.
 I am finishing my studies in machine learning/object detection
 and want to apply my skills in the real world. I believe the description
 of the qualifications and proficiencies match with my experience and
 I can be a valuable asset to the organization. For example:

  • Experience in YOLO and Caffe frameworks.
  • Experienced with Matlab, C/C++, CUDA, Python, Java, 
    Linux Command Line.
  • Experience developing Machine Learning methods 
   such as Neural Networks.
  • Experience in Object Detection / Machine Learning
    with published papers.

I have attached my resume in for your consideration. 
I hope you will learn more about my background. If I can provide
you with any further information please let me know, 
I would love to talk to you in more detail regarding this 
or any other position.
Thank you for your time and consideration

Sincerely,


Sergio Cruz",1,sam
203,"
please find my attached resume .itâd be very kind to hear back from your
end  if thereâs any open position which can suit my current skills,
capabilities and experience.







",1,Enrique
116," 

I would like to be considered for this position.
May I ask about some salary specifics and benefits.

Best,
Mrs. Money 
",1,Sol
115,"thanks for the great offer.
although i have experienced the application process with you very positively, i have decided not to accept the offer.
the reason for this is that i have been offered another job where i can develop my personal skills better.
in addition, i think that job is better for the rest of my career.
thanks again for the time and effort.
i liked that you not only looked at the cv, but also at the candidate as a person.
in addition, i appreciate it that i quickly received a response from you to my application.
who knows, we might talk to each other in the future.",0,Enrique
10,"thank you for the opportunity to accept a position as team lead 1 with merit.
i am happy to accept your offer, with an anticipated starting date of june 15, 2019.
i am pleased to accept the starting salary of $5872, and the additional benefits of health and dental insurance (after 90 days of employment), $1000 tuition reimbursement, life insurance (one-time annual salary), and seven days of paid vacation.
please let me know if you need anything from me in the meantime.
you can reach me at 1632737250 or via email at nicholas53@gmail.com.",1,Enrique
55,"while accepting the position i was certain that i fit the criteria for the said role.
however, after some research and findings, i need to rescind my acceptance of your generous job offer.
while i hold you, your team, and
Dominguez, Olson and Allen in the highest regard, i am not in a position at this time to accept your offer.
i want to wish you and Dominguez, Olson and Allen the best continued success.
thank you again, Jennifer Lee, for all your time and efforts.
perhaps our paths will cross again someday.",0,Enrique
84," 

I am interested in this job position and would like to be considered for an interview.
Thank you,
Y.
",1,Sol
193,"i have received an mail on job opportunity, i was interested on the backend job profile(java) requirement specified on the mail.
i have rich experience on the mvc frameworks (struts 1.2 &2, jsf 1.2&2) , orm frameworks (hibernate & jpa) , webservice (rest & soap) and spring.
i got good banking/retail domain knowledge and involved in various/all phases in the software development life cycle.
also got good exposure to oracle db/sql where involved in creating procedures and done packages for complex systems.
involved in the performance tuning in both java and oracle sides.
here by i have attached my latest updated profile, can you please look into this and revert back if my skills suits.







",1,Enrique
133,"
Thank you, Wendy,

But I’m not accepting  any offers 
",0,Wendy
285,"pfa resume for this post.







",1,Enrique
84,"with all my sincere respect, i am writing this letter to thank you for selecting me for the
post of assistant manager.
due to the convenience issue unfortunately i am unable to join the office.",0,Enrique
120," 

Thank you for your email.
should I qualify for this job, I'll be glad to schedule an interview.

Marry S.

",1,Sol
7,"Dear Ing. Smith,  

I thank you for drawing my attention to the Front-end developer position at your company. I considered this as a great opportunity and hereby I confirm my acceptance of the position.

As mentioned during the interviews, I still have a contract to meet that closes the next month. I am joining the company on March 4, 2020. Therefore, I would ask you for the relocation aids your company provides before the starting date.

Please, let me know if I need to take further action during this time.

Best regards!
Daniel Baumtree",1,Salvador
97," 

thank you for your email. At this moment I am no interested in this particular job.
Many thanks,
Mr. Lopez

",0,Sol
62,"this is regarding the wonderful job offer that i received from
Taylor, Brown and Wagner.
it was a very difficult decision for me to make but i have
decided that another opportunity is a better fit.
i hold Taylor, Brown and Wagner in a very high regard and the have a dear amount of
respect for the whole team.",0,Enrique
221,"i was keenly interested in reading the job posting for the position data
science.
i believe my experience is a strong match for the responsibilities
pertaining to this role, and iâm pleased to submit my application for the
position.
i have 4.6 years of experience in machine learning and data science,

my resume is attached.
if i can provide you with any further information on
my background and qualifications, please let me know.
i look forward to hearing from you.







",1,Enrique
80,"hello,

The job description you sent seems interesting. If the offer still stands
I would like to interview for it.",1,Ivan
284,"thanks for sharing this opportunity with me.
i am interested and apply for same.







",1,Enrique
17,"Greetings,

The job seems to fit my profile but compared to my current
employment it looks like more of the same for me. I'm not interested
in a lateral move but if anything should come up in the future be
sure to keep me in mind.",0,Ivan
116,"while i understand the position and your company
oﬀer a great deal to a prospective employee, i have
had another oﬀer which i believe more closely
matches what i am looking for.
therefore, after
giving it much careful thought, i must decline your
oﬀer.",0,Enrique
69,"Good morning, please find
I attach my CV for the position of physicist-mathematician.

A cordial greeting,
Ignacio",1,sam
230,"hope you are doing well,
i am looking for job in devops.
please let me know if there is any opening for below requirements:
i am devops engineer having 3 years of experience in software engineering.
good knowledge of devops, aws, continuous integration and delivery like
jenkins, configuration management like ansible, docker, yml.
also having
experience in managing production env in aws and all the deployment
activities.
if there is position for above requirement, then please refer my attached
resume.







",1,Enrique
77,"many thanks for your phone call yesterday and the offer of the role of Data processing manager at Nolan LLC.
i sincerely appreciate you taking the time to discuss salary expectations with me.
unfortunately, i will have to decline this role as the salary does not meet the financial requirements of my current living expenses.
thank you again for your consideration, and i wish you all the best in finding someone suitable for the position.",0,Enrique
119,"thank you so much for the offer of the Aid worker.
i so appreciate you taking the time to consider
me and for answering so many of my questions about the company and role.
after careful consideration, i regret that i must decline your offer.
although you were most encouraging in outlining
future advancement possibilities within Wiley LLC, i have accepted another opportunity that is more in line
with my skills and career goals.
i enjoyed meeting you and the rest of your team.
you have been most kind and gracious throughout the interview
process, and i only wish that circumstances allowed me to accept your offer.",0,Enrique
72,"

I'm not looking for a job
",0,Wendy
53,"Dear Joe,

Thank you for offering me the position of Web Developer. I will take the job offer. I am willing to contribute to the company's growing ambitions.

As we discuss previously, I agree with the monthly income of $ 9,500 and all the benefits after 2 months. Additionally, I need assistance with relocation as we both agreed.

Please, feel free to contact me if I need to send further documentation. I look forward to meeting you and the team on July 6, 2021.

Best regards,
Salvatore Falconi",1,Salvador
6,"thank you for sending me a job offer email for the position of Civil Service administrator.
i am very grateful for the time you spent considering me.
i was delighted in receiving your offer because your company left a great impression on me.
after thorough consideration, i decided to decline your offer.
unfortunately, something completely unexpected happened, and i cannot accept your proposition.
i hope Quinn-Ramos will progress forward and achieve great successes in the future.",0,Enrique
77,"Dear Sir,

I am very pleased to hear from you and I am interested in the position that your company is offering. I am available and gladly send you any information you require.

Kind regards,

Federico Coyne

",1,Sol
114,"i would like to take a moment to thank you for extending me an offer for the Community development worker within Morales Group and i am grateful you entrusted me with being suitable and
experienced for the aforementioned position.
i was looking forward to becoming part of the aetna health insurance family however after careful thought
and consideration for the role, salary, responsibilities, and the company; i have come to the decision to
decline the job offer presented to me.
your company has a bright future ahead, but i cannot accept the
position due to the total commute time i would have (approximately 37 hours total each day).
i truly appreciate taking the time to have met with you and all interviewers during this process.
i am
immensely grateful to have received this opportunity to join your team and thank you for your time and
support throughout this process.
i hope to work together in the future should the opportunity become
available.",0,Enrique
113,"Good afternoon:

My name is Alejandro Estrella,
I'm interested in the job offer
Find my CV attached at your disposal,

Best regards,
Cheers",1,sam
40,"i am delighted to tell you that i am thrilled to accept the position of Estate agent at Price, Hooper and Palmer.
it was
wonderful to have a conversation about the same yesterday.
i am looking forward to begin working with you and rest of
the marketing team at Price, Hooper and Palmer.
as we discussed, i would join the organization on 5 th september 2018 at an annual package of £6075].
please let me know if there is anything from my end that you need on the joining date or before.
i am available on the
number and e-mail below.
again, thank you so much for this opportunity.",1,Enrique
86,"Good afternoon,

My name is Edson Álvarez.
I am currently looking for a job.
  I saw an ad in occ.com.mx they are looking for
posgraduate staff and I'm interested
to participate in the selection process.
I have a master's degree in engineering and
experience in food industries
in development departments,
production and quality. I attached my CV.
Thanks for your time and attention.
Regards.",0,sam
96,"Hi,

The job description looks great but unfortunately
due to personal reasons I can't make the move at this time.
Perhaps some time in the future I will be available so I would still
like to be considered for a future position. I can also refer some 
colleagues who would be interested in this position if you'd like.",0,Ivan
63,"this was such a difficult decision for me to make.
i spent a long time
meditating on the opportunity that you put in front of me.
it is such a
great one.
but after a lot of consideration on my career path, i’ve
chosen another route.
i want to thank you for all the time you and the
team put forth.
and i hope we can stay connected and speak about
future job opportunities that may come up later down the road.
thank so much for everything,
",0,Enrique
226,"kindly look in to the attached resume for the profile of full stack developer.







",1,Enrique
275,"             i found your mail from one of my colleague, so i am sending my
resume to you, please forward it for further process.







",1,Enrique
69,"based on hr’s response, i am withdrawing my application to work at your company.",0,Enrique
199,"i was interested to join in your organization.
please find my resume attached







",1,Enrique
117,"Hello,

I appreciate the consideration you have given me but I must decline. 
Best of luck on your search.

",0,Ivan
49,"i want to express my sincerest appreciation to you for including me in the interview process as
you seek candidates for your Energy engineer position.
i have enjoyed meeting
with the members of your staff and i know you have an outstanding operation.
as i explained when we spoke this morning, i respectfully withdraw from consideration for your
position, because i have just accepted another employment offer.
my best wishes to you and the staff of Robles, Chapman and Downs.
i hope we will have the chance to talk at
the next conference.
thank you again for the opportunity to explore
career possibilities with your oﬃce and the courtesies extended to me by so many of your
colleagues.",0,Enrique
73,"thank you for sending me a job offer email for the position of Phytotherapist.
i am very grateful for the time you spent considering me.
i was delighted in receiving your offer because your company left a great impression on me.
after thorough consideration, i decided to decline your offer.
unfortunately, something completely unexpected happened, and i cannot accept your proposition.
i hope Foster, Bailey and Barrera will progress forward and achieve great successes in the future.",0,Enrique
128,"Hello good afternoon

I send my CV to apply for any position in Intekglobal.

Cheers
Marlenne Banos Leal",0,sam
124," 

thank you for considering me for this position,  I am sorry to inform you that I have taken a job in south lake city and will be moving next week.

",0,Sol
119," 
Dear recruiter

thank you for getting in touch with me. I am interested in this job position. But  I haven't finished my bachelor's program and can not meet the arrival day. 

Many thanks,
S.
",0,Sol
244,"in response to you email .
i am attaching my resume for the designation of ai/ml data scientist.
i have completed my post graduate in artificial intelligence and machine
learning from great lakes university and university of austin texas.







",1,Enrique
252,"i am interested for this position.







",1,Enrique
50,"Hello Samantha,

My name is Lakshmi Tejeda, I have a master's 
degree in Chemistry with a bachelor's degree 
in Nanotechnology and software programming in high school.

I don't have a master's degree in physics or mathematics,
 but I have knowledge in both, from classical physics to
 quantum physics, also have knowledge in software 
programming languages of C ++ and Java.
And last but not least, mastery of the english language.

Best regards

MC. Lakshmi Tejeda",1,sam
98,"Good day,

I am writing to you for the vacancy
that they have published, currently
  I reside in Querétaro with a
  Master in Artificial Intelligence,
  which I did at the University
Autonomous of Querétaro.
I am open to any contact
  if they so desire. I attach my CV.
Best regards",1,sam
13,"Greetings,

The job position looks interesting but I don't think I would
be able to work for this company due to ethical reasons. I'm a big
belieber in green energy and I would rather not support the oil industry.

If any position opens up for companies working towards a greener future I would
love to hear about them.",0,Ivan
243,"i'm interested in this position please find the attached resume.







",1,Enrique
93,"Dear Samantha Medina,

I hope you are well receiving this email.
I have seen through Linkedin a job position,
titled Physico-Mathematical with master's degree /
Bilingual and I am interested in it.
Please find attached my CV,

I'll wait for any comments.

Dr. Rafael Aguilar González",1,sam
