,payload,sentiment
84,"with all my sincere respect, i am writing this letter to thank you for selecting me for the
post of assistant manager.
due to the convenience issue unfortunately i am unable to join the office.",0
72,"thank you so much for your oﬀer, and for the me you have invested in talking to me.
i regret to inform you that i have we
received
oﬀer from
have decided to accept that one
instead.
if you’d like to talk through the oﬀer further,
please
don’t your
hesitate
to call me.",0
110,"Good afternoon,

My name is Edson Álvarez.
I am currently looking for a job.
  I saw an ad in occ.com.mx they are looking for
posgraduate staff and I'm interested
to participate in the selection process.
I have a master's degree in engineering and
experience in food industries
in development departments,
production and quality. I attached my CV.
Thanks for your time and attention.
Regards.",0
97,"Dear Samantha Medina,

Hope is well find receiving this email.
Through Linkedin I saw a vacancy
employment physical-mathematical entitled masterfully /
Bilingual which I am interested.
So I make my CV where all my information is.

Stay tuned to your comments.

Attn .: Dr. Rafael Aguilar González",1
237,"i'm working as a devops engineer in l&t technology services with 4 years of
experience.
i'm  looking for new opportunities.







",1
118,"i would like to thank you again for oﬀering me the
position of Research officer.
i
genuinely appreciate the time you spent with me
and your consideration for the position.
i have spent some time reconsidering your job oﬀer
and i have concluded that this job is not the best fit
for my skills and experience.
i believe it is in the
best interests of both myself and the company to
turn down the job oﬀer.
i am very sorry for any
inconvenience that this may cause.

i enjoyed learning more about your company and i
wish you and your staﬀ much success in the future.",0
102,"i wanted to thank you again for your letter offering me Landscape architect at Miranda-Payne.
i appreciate the time you and the rest of the name of company team spent with me outlining this opportunity.
while i certainly recognize the benefits of working at name of company, after thoughtful consideration i regretfully decline this offer.
as we discussed, reason for declining i am choosing not to accept your offer at this time.
i hope our paths will cross again in the near future, and wish you and name of company continued success.
thank you again for your time and consideration.",0
55,"
I am interested in the job but can not  satisfy the mobility issue, I appreciate the information and look forward to work with you in another time,

Sincerely,

Mr. Moore

",0
64,"Dear Joe,

Thank you for offering me the position of Web Developer. I will take the job offer. I am willing to contribute to the company's growing ambitions.

As we discuss previously, I agree with the monthly income of $ 9,500 and all the benefits after 2 months. Additionally, I need assistance with relocation as we both agreed.

Please, feel free to contact me if I need to send further documentation. I look forward to meeting you and the team on July 6, 2021.

Best regards,
Salvatore Falconi",1
134,"please find the updated resume.







",1
66,"thank you for offering me the assistant manager position.
regretfully, i must decline your offer since i have just
accepted a position with another firm.
while i was very interested in the opportunity and working with your team, the
position i accepted is better matched to my credentials and career aspirations.
thanks again for taking the time to meet with me and for the generous employment offer.
i am impressed by your
company’s goals, mission and commitment to quality and service, and wish you and your colleagues much continued
success.
i hope that we meet again in the future.",0
166,"this is my updated resume.







",1
306,"this is with reference to the mail received by me for the position of  data
i am
interested in this job position, and i believe my education qualification
and skills match the job requirements very well.
my current role is jr. data scientist.
please find my resume attached and the details required for the same below.
highest qualification with specialization major and minor:
*m.sc statistic, b.sc actuarial and financial mathematics*.
*majors: statistic, mathematics.
*
*minors*: finance, economics, management.
*software skills: python, r, spss, minitab, tableau, qlik sense.
*
*database skills*: ms sql
*data science skills: machine learning, deep learning, tensorflow, keras,
scikit-learn, pytorch.
*
*data analysis skills:  *basic data cleansing to  eda to advanced
computerised models to extract the data.
experience in data modelling, data
engineering, feature engineering,
good communication skills, with excellent client and team handling skills.
*total experience*: 4.6 years.
*relevant experience:  1.5* years.
feel free to contact me.







",1
128,"                i have gone through the naukri job posting and mail you
have sent to me.
i found that the required skill set is in high coherence
with mine.
i am looking forward to connect with you.
i extensively work on video analytics, volumetric data rgbd (medical
imaging)  right form object detection (yolo v3, retinanet) to sota
segmentation modeling (3d u-net, v-net) along with a project of facial
recognition of employees.
i also worked on recommendation systems at
reliance jio (jio tv and jio movies).
i also have proficiency in python and
deep learning libs (tensorflow, keras) along with other necessary tools
(tensorrt, tensorflow serving, opencv).
finally, i request you to please go through my cv and
github repositories(embedded in my cv).







",1
84,"Hello good afternoon


My name is José Antonio Martínez,
I'm 29 years old, I'm single,
I live in Montemorelos NL, and I would like
participate for the job position available, 
I am available, for learning and traveling.
I am here for any other information you need.
My cell number is 4432178324
I attach my resume.

I would like to work in the United States
I'd like to meet that country

I do not speak English but I can learn over time.
I just want to work. 😔",0
357,"i am an ambitious, self-motivated person who believes in team work,
dedication and honesty.
i am a pro-active and quick learner with
exceptional time management and communication skills.
i have 10 years of
experience in the rpo & bpo sector with expertise in staffing &
recruitment/talent acquisition experience.
worked in the position of a
delivery manager & team lead â operations for 10 years at allegis services
pvt.
ltd. (teksystems), tescra pvt.
ltd., artech info systems, vls
consulting, ilink software services (taj technologies) and tekxcellence
inc.
i have managed contract, contract to hire and permanent staffing needs
for various fortune 100 clients over the past decade.
please feel free to contact me to discuss further.







",1
21,"hello,

The job description you sent seems interesting. If the offer still stands
I would like to interview for it.",1
37,"please accept this letter as confirmation of my resignation from the position of Community arts worker
at Wright Inc, effective from one month from today’s date, January 15, 1984.
i am very thankful for the opportunities, guidance and ongoing support you have provided me.
thank you again, and i wish you and Wright Inc all the best for the future.",0
112,"i hope all is well.

i wanted to follow up regarding the Mechanical engineer position, as i’ve come to a decision.
unfortunately, i have decided to pursue a different opportunity and must decline this offer.
i wish you luck in finding the right person for this role, and i appreciate the time and effort that you spent interviewing me and
extending me this offer.
thank you very much for the opportunity.",0
105,"Good Morning:

 

My name is David Vargas Flores,
 I find myself interested in running for the vacancy
Software Developer.
 I currently work in a private security company
where we develop projects for around C5i
 of the continent.

 My previous job at play in CIATEQ,
 a public research center where
 perform special projects from step
 research to manufacture products
 for various national and international clients.

 Moreover, I have experience
 working on projects with technologies
 vehicle in Germany,
 specifically developing
 Obstacle detection system
 autonomous vehicles and a system
 roadside assistance using V2X and OBDII.
 Where I worked with Dr. Raul Rojas and I find
 backed by the laboratory
University Autonomous Systems
Free Berlin.


Any questions, comments find me under him.

I wish you a good day, Thank you for your attention.

 

David Vargas",1
348,"
â â â  pfa resume, this is bhupesh , certified cloudera developer in bigdata, having 7+ years of experience in java/j2ee/hadoop technologies.







",1
57,"thank you so much for considering me for the position of Primary school teacher.
after careful
consideration, i’ve decided to pursue a position with another company that’s more in
line with my current career path and personal goals.
it was a true pleasure to learn more about the excellent work you do at Aguilar, Richardson and Harris.
i appreciate the time and consideration you gave my application and wish you success
in your efforts to find the perfect candidate.
i look forward to hearing from you in the future.
if there are any questions you have
for me, please let me know.",0
92,"thank you for offering me the position of financial analyst at Lozano-Carlson.
i was delighted to meet
you and learn more about the company.
although i verbally agreed to accept the position, i have given it a lot of thought and decided to turn
down the post.
i believe it is in my, and your company’s, best interests.
ultimately, i elected to take on a
position at a firm where i believe my skills and experience are a better fit. i truly apologise for any
inconvenience i have caused.
i was impressed with Lozano-Carlson during the interview, and continue to be at this time.
wishing you
all the best in the future and hope to still see you in attendance at the snow terrace financial conference
in june.",0
70,"Dear Mrs. Cecilia Cole,

I was amazed to get your phone call yesterday. I am writing to formally accept your employment offer for the Social Media Manager position at Cloudy Company. Thank you for the opportunity.

As we agreed, my starting salary will be $52,800 per year with two weeks of paid time off. I understand that health and dental benefits will be available after ninety days of employment.

If there’s anything you need from me prior to that start date, or any documents I should bring on my first day, just let me know. I’m eager to dig in and get started on November 6, 2017.
Thanks again,

Paul LeMahiue",1
46," 

 I am not interested, please stop sending emails or will be forced to act against you legally.

",0
291,"thank you for your email.
i'm interested in the opportunity provided by
you.
please find the resume attached.







",1
332,"thanks for your email.i am interested in this position.
please find the
attached resume.
kindly let me know if there is any open position.







",1
218,"






",1
62,"Dear Mr. Andrews,

Accept this email as my formal acceptance of the offered position as Cloud Architect. I thank you for the opportunity, and I look forward to applying my talents to the position.

As the offer letter displays and as we previously discussed on the phone, I accept the starting salary of $68,000 with in-lieu work after three months.

I will be meeting the team on July 1, 2020. If you require any additional information from me before then, please let me know. You can reach me at (556) 896-6302 or better by email at sjackson@cloudservices.com.

Thank you again for allowing me to demonstrate my value.
Sincerely,
Samuel L. Jackson",1
336,"i am interested for this position.
i am attaching my resume.
please find
the attached document and revert back to me.







",1
59,"thank you for offering me the position of Insurance claims handler with Young and Sons.
i appreciate your
interest in hiring me.
unfortunately, i have decided to accept a position with another
company that is a better match for my current goals.

again, i appreciate the offer and your careful consideration.
i wish you and your
company continued success in all endeavors.",0
113,"i wanted to follow up regarding the Senior tax professional/tax inspector position.
thank you very much for the opportunity.
however, i was offered another opportunity that i feel is a slightly better fit for my
career goals, and i’ve decided to accept it instead.
this was not an easy decision, and i hope you and your team are successful in finding the right person for your role.",0
93,"Hello Samantha,

My name is Lakshmi Tejeda, I have a master's 
degree in Chemistry with a bachelor's degree 
in Nanotechnology and software programming in high school.

I don't have a master's degree in physics or mathematics,
 but I have knowledge in both, from classical physics to
 quantum physics, also have knowledge in software 
programming languages of C ++ and Java.
And last but not least, mastery of the english language.

Best regards

MC. Lakshmi Tejeda",1
32," 
Dear X,

I would like to consider to apply for his job offer, please find attached my cv.
Let me know if you have further inquiries about my professional background.

Kind regards,
Mark Ruffalo
",1
194,"





",1
42,"i want to thank you very much for offering me the role
of International aid/development worker at Travis, Johnson and Nelson.
i appreciate that you
interviewed a number of candidates and will have
spent much time reaching your decision.
i was very impressed by Travis, Johnson and Nelson, which
made my decision a difficult one.
after careful
consideration, however, i have taken the decision to
decline your offer of employment.
the reason is that i
have been offered a different role at a more senior
level, and with a greater opportunity to develop
management skills.
i enjoyed meeting you and your colleagues, who were
friendly and professional throughout.
i would like to
wish you and your company the very best for the
future and i thank you again for your time.",0
63,"this was such a difficult decision for me to make.
i spent a long time
meditating on the opportunity that you put in front of me.
it is such a
great one.
but after a lot of consideration on my career path, i’ve
chosen another route.
i want to thank you for all the time you and the
team put forth.
and i hope we can stay connected and speak about
future job opportunities that may come up later down the road.
thank so much for everything,
",0
19,"Hi,

Regarding the job opening, I don't think it would be a great fit for me at this time.
I'm still getting familiar with some of the requirements but perhaps in the future.

Regards.
",0
3,"Hello,

The job requirements do fit my profile but I'm not that sure I
would like to make the change. My current job is about the same
and I was more interested in changing my field to Machine Learning
rather than staying were I am. If you have any positions related to
this I would love to be considered. My profile has been updated
with the skills I've been acquiring to make this move.

I hope I can hear from you again if something else opens up. ",0
29,"Greetings,

I saw the description for the job you sent me and I think it could be
a good change for me. It's a bit different from my usual roles but
I'm certainly up to the challenge. 

Regards. 
",1
37," 

thank you for considering me for this position,  I am sorry to inform you that I have taken a job in south lake city and will be moving next week.

",0
303,"please find below resume for your reference.
ready to join in one month,
currently serving notice period.







",1
107,"Good afternoon:

My name is Alejandro Estrella,
my interest is offered the vacancy
 so I leave my CV available.

Cheers",1
19,"i would like to express my appreciation for
including me in the interview process for your
accountant position.
i enjoyed meeting with you
and learning more about your company.
however, i have accepted another employment",0
42," 

I have just enrolled in a Ph.D. program and can not apply for this job.
I will be glad to work with you in the future and look forward to meeting with you on another occasion.


Gabriela Romero

",0
91,"Goodnight,

My name is Franz Lake, and write because
I am interested in the vacancy
employment as AI, Machine Learning / Web Developer.
I attached my CV in both English and
Spanish to this email.

Thank you.

Regards.",1
83,"this letter is in regards to the Investment banker at Taylor, Lambert and Haley.
i would like to take this time to thank you for the opportunity to apply and for the job offer.
i am afraid i will have to decline this offer for a couple of reasons.
i’ve been offered another position at a nearby store that will pay more and work with me on my busy schedule, so i can be more flexible with the hours i work.
i’d like to thank you again for the opportunity to work at costlow general stores and wish you well with your business.",0
80,"Good day, please find
Annex my CV for the position of physico-mathematical.

A cordial greeting,
Ignacio",1
338,"very interested for remote position.
please review my attached resume.







",1
25,"many thanks for your phone call yesterday and the offer of the role of Press sub at Hawkins, Woods and Wood.
unfortunately, i will have to decline this role
as the salary does not meet the financial requirements of my current living expenses.
thank you again for your consideration, and i wish you all the best in finding someone suitable for the position.",0
1,"Hi,

The description for the position looks great. I would be interested
in learning more about it and perhaps interviewing for it.",1
329,"
i am passionate about ai,deep learning, machine learning and computer

vision.
i love to create model to change the the world with the power of ai.
i love
to automate the process.
skills : python, c, c++, xml, matlab, r.
tool : jupyter, anaconda, spider, pycharm, r studio.
hard skill : deep learning, machine learning, data cleaning, data
statistics, modeling, data visualization.
framework : tensorflow, keras, numpy, pandas, matplotlib.
area of interest : artificial intelligence, deep learning, computer vision.
i have attached my resume for your reference.
i have just completed my
pg-diploma in artificial intelligence.in order to enhance my skillset, i am
looking forward for better opportunities.
hope to hear from you soon.







",1
94,"thank you again for taking the time to interview me last week, it was great to meet the team and
learn about the company.
i enjoyed learning about the swamp cleaner position, and i appreciate
your generous offer.
while this position seems like a great opportunity, i have decided that now is not the best time to
leave my current position.
once again, i would like to express my gratitude for the offer and my regrets that it did not work
out.
thank you for your time and i wish you the best in finding another candidate to ll the
position.",0
101,"Good day,


I would like to talk about this 
offer below that I saw in EmpleoNuevo page.
Please find my resume attached.
Ai, Machine Learning / Web Developing Position

I appreciate your attention to this email.

Thank you in advance!
Angeles Bayardo",1
211,"!
!good morning!!
i am writing this mail in order to apply for the vacant position of azure
devops within our company.
additionally, i have 3+years of experience in a similar position.
i would
like to take a chance to show my abilities and prove that i am a right
candidate for this kind of job.
i was involved in many devops projects both in team and individually.
during my 3 years of experience there were a lot of achievements in my
career.
kindly ask you to consider me as a candidate for this vacancy within our
organization.
ch.
chandana







",1
45," 

To whom it might concern,

I hope this email finds you well.
I appreciate your e-mail, I am very interested in this job position and would like to make myself available for a future interview.

With vest regards,
Mr. Polite

",1
69,"Dear Dr. Prof. Weismann,  

I would like to thank you for extending me the soft professor teaching position at the Mathematical Analysis department at Technical University Wien. I am pleased to officially accept the offer and begin working with the team.

As discussed, I agreed with the teaching hours scheduled for the coming semesters and the research activities I will conduct. I will send all documentation to begin the hiring procedure.

Please let me know if there is anything I can provide before my start date on January 23, 2019. 

Thanks again!
Dra. Sarah Martinez",1
112,"good morning

I would like to know the details
of the job position as well as the process
to apply for it,
I am in my last semester of doctorate
in science with a focus on applied physics
in photonics, I attach my cv in English for more details,
any questions or comments you have, just let me know.
Thanks in advance for your attention and time.

Cheers",0
65,"Dear Ing. Smith,  

I thank you for drawing my attention to the Front-end developer position at your company. I considered this as a great opportunity and hereby I confirm my acceptance of the position.

As mentioned during the interviews, I still have a contract to meet that closes the next month. I am joining the company on March 4, 2020. Therefore, I would ask you for the relocation aids your company provides before the starting date.

Please, let me know if I need to take further action during this time.

Best regards!
Daniel Baumtree",1
198,"greetings!!
please find attached profile for your perusal.







",1
265,"i am having total 6.6 years of experience into web development in both
front end + backend as full stack developer.
please find attached my resume for your reference and do let me know
regarding the same.







",1
100,"Dear Samantha Medina,
Take your mail in OCC apply after me,
 I leave my CV attached updated
In addition I mention that I have two publications
 more accepting and outstanding value with JCR and
 just waiting for them to give me time to file
 the doctoral examination (I postponed the
environmental contingency caused by COVID-19).
I would like to mention that although my MsC and my PhD
They are both engineering expertise and
doctorate take classes and math materials 100%
 in fact taught me in the department
Math CINVESTAV by doctors
and graduate training in mathematics and already in the
 doctorate take classes with physical because my topic
 related to fluid mechanics and thermodynamics.
Finally I leave thanking your time.
Best regards,
Ottmar.",1
27,"thank you very much for offering me the position of Runner at Pennington-Pearson.
unfortunately, i have decided not to accept the
position, as it isn’t the right fit for me at this time.
i truly appreciate the offer and your consideration.
thank you again for your time and i wish you all the best in finding
someone suitable for the position.",0
2,"Greetings,

The job seems to fit my profile but compared to my current
employment it looks like more of the same for me. I'm not interested
in a lateral move but if anything should come up in the future be
sure to keep me in mind.",0
109,"after much deliberation, i regret to inform you that i will be unable to accept your offer.
please know
that my decision was a difficult one, as i was impressed with the opportunity presented.
i wish you the best in your recruiting efforts for the position.
perhaps our paths will cross in the future.",0
23,"Hello, hope you are well.

The position you are offering is something I would definitely consider.
I hope to be considered for an interview and find out if
the company and I are as good a fit as I suspect we will be. 
",1
111,"Greetings,

I attached my CV to apply 
for the software developer position

Thanks in advance,",1
17,"following our recent conversation on , i’m thrilled to formally accept the Administrator at Bray-Palmer – with a starting salary of $6218 and life insurance benefits that will be provided after 64 days of prohibition period.
i aim to make a positive contribution with the rest of the senior management team at Bray-Palmer, on Administrator.
i look forward to commencing work with Bray-Palmer on June 01, 2007 and would love to come in to meet the team before as well.
if there is other paperwork or documentation you need from me beforehand, please let me know so that i will arrange them as soon as possible.
again, thank you for this job opportunity.
i’m thrilled to formally accept this job offer.
i’m looking forward to working with you, and the rest of the team at Bray-Palmer.
as discussed, my start date will be June 01, 2007, with an annual salary of $6218, and 19 weeks of paid annual leave.
i’m looking forward to seeing you next monday.
i’m always available on email, but feel free to call if that’s more convenient 314-315-1971x272.
again, thank you so much for this opportunity.",1
60,"thanks so much for offering me the position of Museum/gallery exhibitions officer at Henderson-Lane.
it was a
pleasure meeting you.
unfortunately, after a great deal of thought, i have decided to turn down this
gracious job opportunity.
i am truly sorry for any inconvenience this decision may
cause and hope it will not affect any future relationships with your company.
i wish you continued success and hope to hear from you in the future.",0
114,"i would like to take a moment to thank you for extending me an offer for the Community development worker within Morales Group and i am grateful you entrusted me with being suitable and
experienced for the aforementioned position.
i was looking forward to becoming part of the aetna health insurance family however after careful thought
and consideration for the role, salary, responsibilities, and the company; i have come to the decision to
decline the job offer presented to me.
your company has a bright future ahead, but i cannot accept the
position due to the total commute time i would have (approximately 37 hours total each day).
i truly appreciate taking the time to have met with you and all interviewers during this process.
i am
immensely grateful to have received this opportunity to join your team and thank you for your time and
support throughout this process.
i hope to work together in the future should the opportunity become
available.",0
80,"thank you very much for offering me the position of customer service manager with Davidson-Shaffer
while i understand the position and your company offer a great deal to a prospective
starting a home business employee, i have had another offer which i believe more closely matches what i am
looking for.
therefore, after giving it much careful thought, i must decline your offer.
thank you for your time and effort.
i wish you and your company well.",0
97,"thank you so much for offering me the position of marketing manager at Gonzalez-Johnson.
it has been a
pleasure speaking with you and learning more about your company.
unfortunately, after giving a great deal of thought to this career opportunity, i have decided that it is in my
best interest, as well as the company’s, to turn down your gracious job offer.
i have recently decided to
accept another position that i believe is a better fit for my abilities and skill set.
i am truly sorry for any inconvenience this decision may cause.
i continue to be impressed with Gonzalez-Johnson growth and standing in the marketplace.
i wish you all the best in your future endeavors.
i hope to see you at the upcoming marketing conference
in june.",0
41," 
I have just enrolled in a PhD program and can not apply for this job.
I will be glad to work with you in the future and look forward to meet with you in another ocassion.

Gabriela Romero
",1
121,"thank you very much for offering me the Nutritional therapist.
after careful consideration, i
regret that i must decline your offer.
although you were most encouraging in
outlining future advancement possibilities within Woods, Sweeney and Taylor, i have
accepted another opportunity that is more in line with my skills and career goals.
i enjoyed meeting you and the rest of your team.",0
56," 

I am a jr developer and would like to apply for this position that you are offering.  I am available for an interview if you require so.

Kind regards,
the penguin.
",1
244,"in response to you email .
i am attaching my resume for the designation of ai/ml data scientist.
i have completed my post graduate in artificial intelligence and machine
learning from great lakes university and university of austin texas.







",1
31," 
Dear recruiter

thank you for getting in touch with me. I am interested in this job position. But  I haven't finished my bachelor's program and can not meet the arrival day. 

Many thanks,
S.
",0
38," 

I am interested in this job position and would like to be considered for an interview.
Thank you,
Y.
",1
106,"Dear  Ms. Medina:    

I’m writing to you because I’m interested in applying
 for your open “AI, Machine Learning / Web Developing” position.
 I am finishing my studies in machine learning/object detection
 and want to apply my skills in the real world. I believe the description
 of the qualifications and proficiencies match with my experience and
 I can be a valuable asset to the organization. For example:

  • Experience in YOLO and Caffe frameworks.
  • Experienced with Matlab, C/C++, CUDA, Python, Java, 
    Linux Command Line.
  • Experience developing Machine Learning methods 
   such as Neural Networks.
  • Experience in Object Detection / Machine Learning
    with published papers.

I have attached my resume in for your consideration. 
I hope you will learn more about my background. If I can provide
you with any further information please let me know, 
I would love to talk to you in more detail regarding this 
or any other position.
Thank you for your time and consideration

Sincerely,


Sergio Cruz",1
167,"please find attached my resume for your perusal.







",1
83,"Hi Samantha, 

How are you? I hope all about you're Ok,
 I'd like send you my CV for to be considered to:
 Software Developer / AI and Machine learning.

I'm systems engineer,I have a master's degree
 in quality engineering and a diploma in 
cybersecurity applied to business. 
Now I looking for a job in GDL and 
I'm very interesting in your vacant. 

Can you let me know if you'd consider my CV? 

Regards.",1
95,"i would like to thank you again for taking the time to meet with me last week.
it was great to meet
the team and learn more about the money counter position, and i appreciate the offer to join
your team.
although i am very grateful for this opportunity and would be very excited to join your company,
unfortunately i have to decline your offer, as the salary does not meet my needs.
according to my
research, the typical salary range for someone in this position is between $50,000 and $70,000.
if you feel that you would be willing to accommodate my salary requirements, i would greatly
appreciate it and would love the opportunity to work with your company.
again, thank you for your time and support ",0
277,"thank you for your mail , i am sending my profile and details as well.
i have been working with philips india ltd,bangalore,india  for 2.5 years,
and i have good hands on experience in asp.net mvc 3/4/5/6   for more than
5+ years.
in mobile development  xamarin  android and android sdk .please
find attached profile for more insight.
i am looking forward your response.







",1
71,"unfortunately, i am going to need to withdraw my employment.
i
apologize for this inconvenience and i realize this puts the company
in a challenging position to make a replacement.
i wouldn’t have made
this choice unless it was for serious reasons.
i hope this doesn’t diminish the opportunity for us to work together in
the future.",0
124,"i am sending you my resume for the position of devops/build & release
engineer.
kindly find the attachment and consider my profile for this
position.







",1
339,"hope your doing well.
with reference to below mail, please find attached my resume for your
reference and let me know if you need any further details.







",1
228,"please find attached my candidature for the open position.
details:11+ yrs in hr operations in logistics, it,ems ,banking industry.
name: g l venugopal

dob: 24-5-1982

highest qualification: mba in hr

ectc: as per company norms

current location: bangalore

notice period: immediate jioning


regards,
venugopal








",1
7,"i was pleased to receive your offer of the position of Manufacturing engineer at Cantrell, Smith and Foley.
your offer is quite fair, based on the position's
responsibilities and my qualifications.
please record this letter as my
official acceptance of the position.
your confidence in my ability to perform the duties required will be
rewarded.
the experience and judgment i have gained over the past years
will enable me to perform these duties successfully and satisfactorily.
i look forward to working with you in the near future.",1
98,"Good afternoon Samantha,
I have a so-called loss of you, yesterday.
I remain at the slope of the subject to be treated,
Best regards,
Eder",1
68,"Dear Mr. Jones,

I sincerely appreciate your consideration for the account manager position with your firm. I regret to inform you that I must withdraw my application for the job. My wife has received an attractive promotion with her company that will require relocation to another state, and we will be moving at the end of the summer.

Thank you for the time you spent reviewing my qualifications and meeting with me.

Best regards,
Shaun Murphy
555-862-15756
shaun_mur@mymail.com",0
56,"this is with reference to your job offer that you placed for the position of Commercial horticulturist.
after careful consideration of my
responsibilities and the kind of role i need to perform, i would like to rescind my acceptance for the said post.
i understand that i would miss the opportunity of working with a reputed company, backed with friendly and warm colleagues, but i have a
better offer as Commercial horticulturist in a small company.
it was a tough call making the decision as the reputation your company has is
incomparable.
i hope i should not regret my decision in the near future.",0
197,"good morning.
thanks for your e-mail.
please find enclosed resume for your kind perusal.







",1
95,"Dear Ms. Medina.:

My name is Guillermo Lopez Hinojosa.

I had the opportunity to meet
with the vacancy ""Physical-Mathematician with
 Master / Bilingual ""
and I believe that my experience and
 history meet
requirements of the position.

I attach my CV.

Thank you.

Atte.
G. Lopez",1
18,"Hello,

I'm not interested in this position but if you have any openings for a more senior role 
I would definitely like to hear about it. ",0
6,"thank you for sending me a job offer email for the position of Civil Service administrator.
i am very grateful for the time you spent considering me.
i was delighted in receiving your offer because your company left a great impression on me.
after thorough consideration, i decided to decline your offer.
unfortunately, something completely unexpected happened, and i cannot accept your proposition.
i hope Quinn-Ramos will progress forward and achieve great successes in the future.",0
27,"Hello,

Thank you very much for the information. If only I had known sooner but unfortunately
I just started a new project and I cannot go back on that commitment. I hope I can
be considered for future opportunities once I become available again. 

Regards. ",0
61,"Dear Randy Johnson:

I very much appreciate your consideration for the DevOps Engineer with Zalando. After further thought, I have decided to withdraw my application for the position.

It was a pleasure meeting you. I appreciate the time you spent discussing the opportunity with me, as well as the information you shared on the job and the company.

Thank you for your time and consideration. I wish you success in finding the perfect candidate to fill this position.

Best regards,
David Ortiz",0
345,"thanks for reaching out, i am interested in applying for the job position
of âai engineer / data scientist in usâ.
the updated resume is attached, providing further information on how my
career background meets your requirements.
i look forward to hearing from
you.







",1
152,"i am madhusudhan.g , please let me know further information.
g
ph :no:8749043948







",1
344,"i am interested in this position and please find the attached resume for
your reference.
hoping to hear from you soon.







",1
119,"thank you so much for the offer of the Aid worker.
i so appreciate you taking the time to consider
me and for answering so many of my questions about the company and role.
after careful consideration, i regret that i must decline your offer.
although you were most encouraging in outlining
future advancement possibilities within Wiley LLC, i have accepted another opportunity that is more in line
with my skills and career goals.
i enjoyed meeting you and the rest of your team.
you have been most kind and gracious throughout the interview
process, and i only wish that circumstances allowed me to accept your offer.",0
117,"thank you again for oﬀering me the opportunity to
work at Jones-Lopez.
as i told you over the phone i regret that i must
decline the job oﬀer.
after considerable thought i
have determined that the position is not the best fit
for me at this time.
i enjoyed meeting you and learning about your
company and i wish you every success in the
future.",0
8,"Greetings,

The job opportunity looks great and I would normally jump at it but at
this time it would be difficult to make the change. I would love
to hear about other openings in the future if you would consider me again. ",0
88,"thank you for offering me the position of sales associate with the regency company, llc.
after a great deal of reflection, i have decided to accept a position with another company.
i enjoyed speaking with you, and i appreciate the time you took to share information about
this opportunity.
i admire the work that your team is doing, and i hope to find a way to be
involved in your work in the future, even though the timing did not work out this time.",0
