,payload,sentiment
122,"i really want to thank you very much for offering me the position of senior supervisor in your
company.
however, i have been offered a similar role in another company, the details of
which i do not wish to disclose due to professional commitments, at a better ctc and perks
with my experience and qualifications.
i appreciate you for taking time and effort for interviewing me and also sharing relevant
information related to the job and the company.
i mean no disrespect but, i must go for the
offer that is best suited for me.
i wish continued success for your company!
thank you, for your time and effort.",0
302,"please find the attached resume for your reference.







",1
7,"i was pleased to receive your offer of the position of Manufacturing engineer at Cantrell, Smith and Foley.
your offer is quite fair, based on the position's
responsibilities and my qualifications.
please record this letter as my
official acceptance of the position.
your confidence in my ability to perform the duties required will be
rewarded.
the experience and judgment i have gained over the past years
will enable me to perform these duties successfully and satisfactorily.
i look forward to working with you in the near future.",1
167,"please find attached my resume for your perusal.







",1
225,"please find my attached resume for your reference and let me know regarding
further interview process incase if i meet your requirements.







",1
88,"thank you for offering me the position of sales associate with the regency company, llc.
after a great deal of reflection, i have decided to accept a position with another company.
i enjoyed speaking with you, and i appreciate the time you took to share information about
this opportunity.
i admire the work that your team is doing, and i hope to find a way to be
involved in your work in the future, even though the timing did not work out this time.",0
253,"i received email from naukri.
this is kondareddy,
i am interested for this position, please go head for further process.
i have 9 years of experience in devops/build and release and sending
updated profile as attached.
please look on it and let me know if any concern.







",1
345,"thanks for reaching out, i am interested in applying for the job position
of âai engineer / data scientist in usâ.
the updated resume is attached, providing further information on how my
career background meets your requirements.
i look forward to hearing from
you.







",1
116,"while i understand the position and your company
oﬀer a great deal to a prospective employee, i have
had another oﬀer which i believe more closely
matches what i am looking for.
therefore, after
giving it much careful thought, i must decline your
oﬀer.",0
20,"i am excited to accept the offer as Surveyor for Roberts Inc.
this is an amazing opportunity and i am honored to have been
considered for it.
as we discussed, my starting salary will be $7695 usd/year and health
insurance benefits will be available after 34 days of employment.
the start date will be August 12, 1976.
i look forward to working with you and the rest of your team.
thanks again for this amazing opportunity!
i am excited to inform you that i officially accept your offer for the Surveyor position with Roberts Inc.
i am eager to put my skills to the
test and do great things at your company!
as we agreed, my starting salary will be $50,000 usd/year and my health
insurance benefits will kick in after 30 days.
i look forward to starting my employment on August 12, 1976.
if there is anything else you need me to do or sign prior to the start date,
just let me know.
once again, thank you for this great opportunity!",1
123,"i would like to inform you that i went through the job description
provided by you.
it seems to align with my interests.
i would be an amazing
asset to your organization and in due course a learning opportunity for me.
to discuss further could we talk over skype so that i could get a broader
idea about the job profile.







",1
241,"pfa my resume.







",1
37,"please accept this letter as confirmation of my resignation from the position of Community arts worker
at Wright Inc, effective from one month from today’s date, January 15, 1984.
i am very thankful for the opportunities, guidance and ongoing support you have provided me.
thank you again, and i wish you and Wright Inc all the best for the future.",0
102,"i wanted to thank you again for your letter offering me Landscape architect at Miranda-Payne.
i appreciate the time you and the rest of the name of company team spent with me outlining this opportunity.
while i certainly recognize the benefits of working at name of company, after thoughtful consideration i regretfully decline this offer.
as we discussed, reason for declining i am choosing not to accept your offer at this time.
i hope our paths will cross again in the near future, and wish you and name of company continued success.
thank you again for your time and consideration.",0
110,"thank you so much for offering me the Sales professional position.
after careful consideration, i have decided to accept a different position and won’t be able to accept this offer.
i appreciate the time spent interviewing me and introducing me to your organization throughout this process, and Mills PLC sounds like a fantastic company.
it was a difficult decision, and i wish you success in finding the right person for your role.",0
57,"thank you so much for considering me for the position of Primary school teacher.
after careful
consideration, i’ve decided to pursue a position with another company that’s more in
line with my current career path and personal goals.
it was a true pleasure to learn more about the excellent work you do at Aguilar, Richardson and Harris.
i appreciate the time and consideration you gave my application and wish you success
in your efforts to find the perfect candidate.
i look forward to hearing from you in the future.
if there are any questions you have
for me, please let me know.",0
178,"i thank you for shown interest on my profile.
herewith, i have attached my resume.
for further discussion, i'm available at any time.







",1
90,"thank you very much for offering me the position of Commercial/residential surveyor  at Richardson LLC, following our final
interview earlier this week.
after a lot of consideration, i have decided, with regret, not to accept the offer.
due to personal
reasons, unfortunately i am no longer in a position to accept the role.
i really appreciate the time that you have taken to meet with me over the course of our
interviews last week and this week.",0
130,"i have attached my resume for the requirement.
*total exp:* 04+ years

*exp in python development: 2 years*
experience in ai, python, nlp, machine learning.
list and details of my published work in research journals could be found
here: https://scholar.google.com/
citations?user=x1sxqgiaaaaj&

it would be a sincere pleasure to hear back from you soon to discuss this
exciting opportunity.







",1
350,"happy monday !
and thank you for the email.
please find my resume attached.
do let me know on the after eligibility check .







",1
257,"further to your mail, please find attached is my resume for your kind
reference.
i would like to understand what exactly is the profile your
looking at and what is your interview process.
awaiting your response.







",1
42,"i want to thank you very much for offering me the role
of International aid/development worker at Travis, Johnson and Nelson.
i appreciate that you
interviewed a number of candidates and will have
spent much time reaching your decision.
i was very impressed by Travis, Johnson and Nelson, which
made my decision a difficult one.
after careful
consideration, however, i have taken the decision to
decline your offer of employment.
the reason is that i
have been offered a different role at a more senior
level, and with a greater opportunity to develop
management skills.
i enjoyed meeting you and your colleagues, who were
friendly and professional throughout.
i would like to
wish you and your company the very best for the
future and i thank you again for your time.",0
4,"thank you so much for the offer to join Hopkins-Schultz in the Nurse role.
i was excited about the opportunity to work with the team there.
unfortunately, something unexpected came up, and i am unable to go forward with the job as previously planned.
i would love to stay in touch via linkedin, and i hope our paths cross again in the future.",0
237,"i'm working as a devops engineer in l&t technology services with 4 years of
experience.
i'm  looking for new opportunities.







",1
81,"thank you again for offering me the opportunity to work at Powell PLC.
as i told you over the phone i regret that i must decline the job offer.
after considerable thought i have determined that the position is not the best fit for me at this time.
i enjoyed meeting you and learning about your company and i wish you every success in
the future.",0
194,"





",1
19,"i would like to express my appreciation for
including me in the interview process for your
accountant position.
i enjoyed meeting with you
and learning more about your company.
however, i have accepted another employment",0
27,"thank you very much for offering me the position of Runner at Pennington-Pearson.
unfortunately, i have decided not to accept the
position, as it isn’t the right fit for me at this time.
i truly appreciate the offer and your consideration.
thank you again for your time and i wish you all the best in finding
someone suitable for the position.",0
49,"i want to express my sincerest appreciation to you for including me in the interview process as
you seek candidates for your Energy engineer position.
i have enjoyed meeting
with the members of your staff and i know you have an outstanding operation.
as i explained when we spoke this morning, i respectfully withdraw from consideration for your
position, because i have just accepted another employment offer.
my best wishes to you and the staff of Robles, Chapman and Downs.
i hope we will have the chance to talk at
the next conference.
thank you again for the opportunity to explore
career possibilities with your oﬃce and the courtesies extended to me by so many of your
colleagues.",0
69,"based on hr’s response, i am withdrawing my application to work at your company.",0
244,"in response to you email .
i am attaching my resume for the designation of ai/ml data scientist.
i have completed my post graduate in artificial intelligence and machine
learning from great lakes university and university of austin texas.







",1
77,"many thanks for your phone call yesterday and the offer of the role of Data processing manager at Nolan LLC.
i sincerely appreciate you taking the time to discuss salary expectations with me.
unfortunately, i will have to decline this role as the salary does not meet the financial requirements of my current living expenses.
thank you again for your consideration, and i wish you all the best in finding someone suitable for the position.",0
213,"   -
   - greetings for the day !!!
-
   - i have good working knowledge and professional experience in
   appliedai/machinelearning/deeplearning/data science  with  mathematical and
   statistical skills .
please take a moment to go through  details that are
   mentioned in the attached resume.
-
      -
      it would be a sincere pleasure to hear back from you soon to discuss
   any exciting opportunity.
9916112881










",1
56,"this is with reference to your job offer that you placed for the position of Commercial horticulturist.
after careful consideration of my
responsibilities and the kind of role i need to perform, i would like to rescind my acceptance for the said post.
i understand that i would miss the opportunity of working with a reputed company, backed with friendly and warm colleagues, but i have a
better offer as Commercial horticulturist in a small company.
it was a tough call making the decision as the reputation your company has is
incomparable.
i hope i should not regret my decision in the near future.",0
71,"unfortunately, i am going to need to withdraw my employment.
i
apologize for this inconvenience and i realize this puts the company
in a challenging position to make a replacement.
i wouldn’t have made
this choice unless it was for serious reasons.
i hope this doesn’t diminish the opportunity for us to work together in
the future.",0
349,"i received a message from naukri.
it looks like i know most of the things
which you mension there.
pfa below for reference.







",1
182,"please find my resume attached.







",1
170,"my name is pushkar patil and i am searching job in data science and machine
learning.
i have done training in the data science and machine learning of
4 months.
i am sending my resume for this job application.
if you satisfied
with my profile then send me an updates as soon as possible.







",1
234,"kindly go through the attachment of my resume

thanks & regards
viranshu rajput







",1
5,"first, i want to thank you for the offer to work for Montgomery PLC as a Barrister's clerk.
i was excited about the chance to join the team there, but something unexpected came up, and i
won’t be able to go forward with the job as planned.
i wish i didn’t have to back out like this.
i want to stay connected via linkedin, and i hope we cross paths again in the future.",0
64,"thank you very much for offering me the assistant manager position.
after careful consideration, i regret
that i must decline your offer.
although you were most encouraging in outlining future advancement
possibilities within Clark Ltd, i have accepted another opportunity that is more in line with my skills
and career goals.
i enjoyed meeting you and the rest of your team.
you have been most kind and gracious throughout the
interview process, and i only wish that circumstances allowed me to accept your offer.",0
335,"greeting !
i am  revati nanda.
i received your mail on naukri.com.
i have recently
completed post graduate diploma course in artificial intelligence and i
want to explore this field and learn, i am currently working as a software
engineer(data science) at innodata.
please find attached my resume.
looking forward for your immediate response.
thank you.







",1
156,"  do look at my resume and let me know if my experience and knowledge match
your requirements.







",1
317,"hope you are doing well!
i am writing you in regards to recruitment position .i am very much
interested to apply my candidature for this one.
i have gained 9 years of
exp in talent acquisition/recruitment's.
here i am attaching my profile for
your review, please have a look and let me know your interest for further
process.
i would be very happy to discuss my profile in detail with hr
team.
i can be reached on my cell number 9968344900.
looking forward to hear from you.







",1
100,"thank you for giving me this great job offer.
i am deeply grateful for the
opportunity that you have given to me to work for your company.
i am so sorry that i will have to decline the offer.
few hours before i got your email, i was informed that my aunt was admitted to
a hospital in another state.
she was just diagnosed with cancer.
my presence and
resources are needed immediately at the hospital because i am the only relative
she has.
i was informed that she may be on admission for the next three
months.
i apologize for this unfortunate situation, and also for any inconvenience that my
decision may have caused the company.
thank you again for the job offer, i do not take your faith in me for granted.",0
320,"hope this email finds you well
i am thankful for the opportunity you have provided me to work in us.
i
really look forward to work in us .
as per the requirement mentioned , i believe i truly full fill all your
requirements.
i have spent 2 year as data analyst and 2 years in mis reporting domain .
i
am keen to further develop my career in he field of data analytics.
in this
perspective ,i have also  upgraded my data analysis skills through a
certification course in advance data science program .
below i have summarized my skills and also attached my resume for your
reference.
machine learning skills: regression analysis,logistic analysis,decision
tree, random forest,pca, cluster
                 analysis,svm
deep learning skills    : cnn
text mining                   : nlp
programming skills      :python , sql
tools  and libraries
:numpy,pandas,sklearn,nltk,spacy,seaborn,matplotlib.
at an individual level, i am organized, and precise in my work;  i have
strong communication skills with a knack for clear and illuminating
presentation.
i really enjoy being part of a motivated team of smart
people.
further more i would like to mention that i am ready to relocate to
any location as per the opportunity.
i appreciate your time spent reading this application, and look forward to
connecting in the future.
please find my contact information below this note .







",1
293,"
hope you are doing well.

i have 3 years of experience in data science, machine learning, deep
learning, nlp and ai with python.
i have attached my profile for your reference.
please go through it and let
me know if you have any questions.
thank you.







",1
3,thank you so much for your help with this.,1
22,"it is with great pleasure that i accept your offer to join Mrs. Cheryl Brooks as a Aid worker under
Mrs. Cheryl Brooks.
the goals you outlined for the position are well-matched to my abilities, and i
consider it a privilege to join your team.
(mr./ms.
Mrs. Cheryl Brooks, thank you for making the interview process enjoyable.
i look forward to working with
you and the Mrs. Cheryl Brooks team.
i will report to work on December 07, 1997.
in the meantime, feel free to call
me at 2310 0123-456.",1
276,"i have received job notification from naukri.com.
please find attached my
resume.
i would like to convey that along with my 14 years experience, i am
working with fmcg company currently.
is it possible that your organization
can interview me further and offer a consultant role if i am suitable
enough.
in my previous organization, i was dealing with recruitment, training and
operating offshore unit of one of the us company.
i would like to review my
profile.
looking forward to hearing from you.







",1
65,"thank you very much for offering me the assistant manager position.
after careful consideration, i regret that i must
decline your offer.
although you were most encouraging in outlining future advancement possibilities within a
company, i have accepted another opportunity that is more in line with my skills and career goals.
i enjoyed meeting you and the rest of your team.
you have been most kind and gracious throughout the interview
process, and i only wish that circumstances allowed me to accept your offer.
with best wishes for your continued success.",0
84,"with all my sincere respect, i am writing this letter to thank you for selecting me for the
post of assistant manager.
due to the convenience issue unfortunately i am unable to join the office.",0
151,"we can talk tomorrow in afternoon at 2 pm.







",1
111,"i hope you’re doing well.
unfortunately, i have decided to pursue another opportunity rather than accepting this offer.
i appreciate the time you and your team spent meeting with me and putting together this offer, and i wish you luck in finding
the right person for the job.",0
40,"i am delighted to tell you that i am thrilled to accept the position of Estate agent at Price, Hooper and Palmer.
it was
wonderful to have a conversation about the same yesterday.
i am looking forward to begin working with you and rest of
the marketing team at Price, Hooper and Palmer.
as we discussed, i would join the organization on 5 th september 2018 at an annual package of £6075].
please let me know if there is anything from my end that you need on the joining date or before.
i am available on the
number and e-mail below.
again, thank you so much for this opportunity.",1
53,"i’m writing to express my gratitude and appreciation for the chance to come aboard
the Doyle-Sweeney team!
i would be more than happy to accept the job offer and
begin working on September 11, 1994.
i really appreciate the time you took to interview me last month.
it gave me a lot of
insight into the culture at Doyle-Sweeney, and i’m excited to meet my new
coworkers on my first day.
please let me know who i will be reporting to.
thank you again for the great opportunity.",1
208,"hope you are doing well.
this is regarding the vacancy for the profile of front end developer for
which am sharing my resume with you.
please find attached to this email a copy of my cv that details my past
experience.
looking forward to a prompt and positive revert from your end.







",1
341,"please find attached my resume for the position of expert us it recruiter

feel free to connect at 9902495007 for further process.
murali







",1
155,"in this email i am attaching my resume for your reference.







",1
289,"





",1
235,"i would be interested for this opportunity & i do contains extensive build
& release engineer experience along with azure cloud as an additional
technology.
i m sharing my resume, please considered if it looks suitable.







",1
55,"while accepting the position i was certain that i fit the criteria for the said role.
however, after some research and findings, i need to rescind my acceptance of your generous job offer.
while i hold you, your team, and
Dominguez, Olson and Allen in the highest regard, i am not in a position at this time to accept your offer.
i want to wish you and Dominguez, Olson and Allen the best continued success.
thank you again, Jennifer Lee, for all your time and efforts.
perhaps our paths will cross again someday.",0
80,"thank you very much for offering me the position of customer service manager with Davidson-Shaffer
while i understand the position and your company offer a great deal to a prospective
starting a home business employee, i have had another offer which i believe more closely matches what i am
looking for.
therefore, after giving it much careful thought, i must decline your offer.
thank you for your time and effort.
i wish you and your company well.",0
59,"thank you for offering me the position of Insurance claims handler with Young and Sons.
i appreciate your
interest in hiring me.
unfortunately, i have decided to accept a position with another
company that is a better match for my current goals.

again, i appreciate the offer and your careful consideration.
i wish you and your
company continued success in all endeavors.",0
103,"thank you so much for the offer to join Brown, Flowers and Charles in the Legal executive role.
i was excited
about the opportunity to work with the team there.
unfortunately, something unexpected came up, and i am unable to go forward with the job as
previously planned.
i would love to stay in touch via linkedin, and i hope our paths cross again in the future.",0
6,"thank you for sending me a job offer email for the position of Civil Service administrator.
i am very grateful for the time you spent considering me.
i was delighted in receiving your offer because your company left a great impression on me.
after thorough consideration, i decided to decline your offer.
unfortunately, something completely unexpected happened, and i cannot accept your proposition.
i hope Quinn-Ramos will progress forward and achieve great successes in the future.",0
96,"thank you so much for the offer for the role of junior alien hunter.
i really appreciate you taking
the time to consider me and for answering my questions about the company and the position.
while this role is a great opportunity, i have decided to pursue another position that will offer me
more opportunities to achieve my ultimate career goals.
it has been a pleasure getting to know you, and i hope that we cross paths in the future.",0
323,"
respected sir,i am very glad to hear response from you as i am searching the job in the mentioned domains.

it would be a great opportunity for me as the job is of my passion and of course don't want to miss it.
hope you have noticed that i am a fresher by experience and the opportunity is applicable to me.
as suggested, i am hereby sending my updated resume.
it would be a great opportunity for me as the job is of my passion and of course don't want to miss it.
hope you have noticed that i am a fresher by experience and the opportunity is applicable to me.
as suggested, i am hereby sending my updated resume.







",1
83,"this letter is in regards to the Investment banker at Taylor, Lambert and Haley.
i would like to take this time to thank you for the opportunity to apply and for the job offer.
i am afraid i will have to decline this offer for a couple of reasons.
i’ve been offered another position at a nearby store that will pay more and work with me on my busy schedule, so i can be more flexible with the hours i work.
i’d like to thank you again for the opportunity to work at costlow general stores and wish you well with your business.",0
92,"thank you for offering me the position of financial analyst at Lozano-Carlson.
i was delighted to meet
you and learn more about the company.
although i verbally agreed to accept the position, i have given it a lot of thought and decided to turn
down the post.
i believe it is in my, and your company’s, best interests.
ultimately, i elected to take on a
position at a firm where i believe my skills and experience are a better fit. i truly apologise for any
inconvenience i have caused.
i was impressed with Lozano-Carlson during the interview, and continue to be at this time.
wishing you
all the best in the future and hope to still see you in attendance at the snow terrace financial conference
in june.",0
109,"after much deliberation, i regret to inform you that i will be unable to accept your offer.
please know
that my decision was a difficult one, as i was impressed with the opportunity presented.
i wish you the best in your recruiting efforts for the position.
perhaps our paths will cross in the future.",0
114,"i would like to take a moment to thank you for extending me an offer for the Community development worker within Morales Group and i am grateful you entrusted me with being suitable and
experienced for the aforementioned position.
i was looking forward to becoming part of the aetna health insurance family however after careful thought
and consideration for the role, salary, responsibilities, and the company; i have come to the decision to
decline the job offer presented to me.
your company has a bright future ahead, but i cannot accept the
position due to the total commute time i would have (approximately 37 hours total each day).
i truly appreciate taking the time to have met with you and all interviewers during this process.
i am
immensely grateful to have received this opportunity to join your team and thank you for your time and
support throughout this process.
i hope to work together in the future should the opportunity become
available.",0
82,"i would like to thank you again for offering me the position of sales associate at ghb
company.
i genuinely appreciate the time you spent with me and your consideration for
the position.
i have spent some time reconsidering your job offer and i have concluded that this job is
not the best fit for my skills and experience.
i believe it is in the best interests of both
myself and the company to turn down the job offer.
i am very sorry for any
inconvenience that this may cause.
i enjoyed learning more about your company and i wish you and your sta much
success in the future.",0
284,"thanks for sharing this opportunity with me.
i am interested and apply for same.







",1
118,"i would like to thank you again for oﬀering me the
position of Research officer.
i
genuinely appreciate the time you spent with me
and your consideration for the position.
i have spent some time reconsidering your job oﬀer
and i have concluded that this job is not the best fit
for my skills and experience.
i believe it is in the
best interests of both myself and the company to
turn down the job oﬀer.
i am very sorry for any
inconvenience that this may cause.

i enjoyed learning more about your company and i
wish you and your staﬀ much success in the future.",0
25,"many thanks for your phone call yesterday and the offer of the role of Press sub at Hawkins, Woods and Wood.
unfortunately, i will have to decline this role
as the salary does not meet the financial requirements of my current living expenses.
thank you again for your consideration, and i wish you all the best in finding someone suitable for the position.",0
132,"please find my cv for devops/build & release engineer position in us.







",1
101,"following our conversation yesterday morning over
the telephone, i would like to thank you for offering me
the position of (name of position) at (name of
company).
the challenges and growth within the company are
exciting but the salary offer is unfortunately below
what i would be happy with.
it has been a hard decision to make, but i have a few other offers available to me that suit my salary
goals more.
i wish to thank you for your time, consideration and offer, perhaps in the future or should there be a
reconsideration regarding salary, i would be more than happy to listen.",0
192,"
hi pfa., my updated profile for reference.

i have rich experience on the mvc frameworks (struts 1.2 &2, jsf 1.2&2) , orm frameworks (hibernate & jpa) , webservice (rest & soap) and spring.
i got good banking/retail domain knowledge and involved in various/all phases in the software development life cycle.
also got good exposure to oracle db/sql where involved in creating procedures and done packages for complex systems.
involved in the performance tuning in both java and oracle sides.
here by i have attached my latest updated profile, can you please look into this and revert back if my skills suits.







",1
104,"first, i want to thank you for the offer to work for Martinez PLC as a Plant breeder/geneticist
i was excited about the chance to join the team there, but something unexpected came up, and i
won’t be able to go forward with the job as planned.
i wish i didn’t have to back out like this.
i want to stay connected via linkedin, and i hope we
cross paths again in the future.",0
107,"while i extremely
appreciative for having been offered the role, i believe i will have to decline the same.
while the package you have offered me
is extremely generous, i have accepted a position at another company which better fits the role i was looking out for.",0
26,"thank you very much for offering me the opportunity to work at Cooper Inc as Architectural technologist.
after much deliberation, i will not be accepting the position, as it isn’t the right fit for my long-term career goals.
i sincerely appreciate the offer and give you my best wishes in finding a suitable candidate for the position.
i wish you and the
company well in all future endeavours.",0
72,"thank you so much for your oﬀer, and for the me you have invested in talking to me.
i regret to inform you that i have we
received
oﬀer from
have decided to accept that one
instead.
if you’d like to talk through the oﬀer further,
please
don’t your
hesitate
to call me.",0
12,"i am writing to confirm my acceptance of your offer of employment.
i am thrilled to be joining angel ministries as a director of development, effective January 07, 1996, with a starting salary of $5352.
as we discussed, i will provide you with my hiring paperwork by june 11.  i will look forward to receiving the paperwork for the life insurance policy so that i can complete it before my start date.
i am looking forward to working with your team.
i’m confident i can make a significant contribution to the organization in this role.",1
232,"

thank you for reaching out to me.
i am interested in the position.
please
find the attached resume (subhas.pdf).
below are some of my works you might find interesting.
ai headcount
-
a demo video on one of my full-stack ai applications.
personal chatbot development.







",1
78,"thank you very much for offering me the opportunity to work at Norris, Wilson and Kelley as Clinical embryologist.
after much deliberation, i will not be accepting the position, as it isn’t the right fit for my long-term career goals.
i sincerely appreciate the offer and give you my best wishes in finding a suitable candidate for the position.
i wish you and the company well in all future endeavours.",0
61,"i want to thank you for all the time that you’ve spent with me.
meeting you and your team to speak about Lewis-Johnson was an
absolute pleasure.
i really hold all of you in high regard.
at this time, i’ve decided that another opportunity is a better option for
me and my career path.
i want you to know this was a very difficult
decision.
i hope we can stay in touch and speak about future job opportunities.",0
99,"i hope things are going well at Day Inc.
interviewing with you on
November 07, 1996 was a positive experience and i was hoping to reach out and
touch base with you.",1
0,"hello,

The job description you sent seems interesting. If the offer still stands
I would like to interview for it.",1
1,"Greetings,

The job seems to fit my profile but compared to my current
employment it looks like more of the same for me. I'm not interested
in a lateral move but if anything should come up in the future be
sure to keep me in mind.",0
2,"Hello, hope you are well.

The position you are offering is something I would definitely consider.
I hope to be considered for an interview and find out if
the company and I are as good a fit as I suspect we will be. 
",1
3,"Greetings,

The job position would be great for me if only I could choose my own work location.
Due to personal reasons I currently cannot be away too ofter or for too long. 

Does the job offer remote work options?
Is it possible to take sick days/personal days?

Regards

",0
4,"Hello,

The job position looks great but I would like to ask a few questions.

1) Are there options for relocation?
2) Is work-from-home allowed? If not always, on occasions? 
3) Are there allowances for religious holidays? ",0
5,"Hi!

I am interested and would love to follow up on the offer.",1
6,"Hello,

Regarding the job position, I would be interested in interviewing for this role 
as it matches my profile and I believe my strengths can be put to good use.

Regards.",1
7,"Hi,

I'm really interested in this job offer but the timing isn't great.
If it would be at all possible to maybe start in 3 months from now I would
really like to interview for this position. If that is not possible then I
sincerely hope you can keep me in mind for something else that might open up
later on. ",0
8,"Hi,

The position matches my profile and the location 
is ideal. Unfortunately it does not meet my current
financial requirements. If the salary is not negotiable 
then I cannot accept. ",0
9,"Hi,

The job description mentions a training period. For how long is this period? What
sort of projects will I be working on? 

Regards.",0
10,"Hi,

I've read the job position and it looks interesting but I have a few doubts. 
Does this position allow for remote work?
Will there be a lot of travel?
Does it provide certification courses?

I would love to get an answer to these question.",0
11,"Hello,

The job position looks great but it seems that the contract if only for a few months.
Would it be possible to get an extension or a permanent contract after the time ends?

regards.",0
12,"Hello,

The information I've received looks great but I have a few questions.

Would I be able to pick my work location? If not immediately, what are the odds
of being granted a transfer?

What does the career path look like for someone with my skills? 

I look forward to hearing back. Regards.",0
13,"Greetings,

The job position looks interesting but I don't think I would
be able to work for this company due to ethical reasons. I'm a big
belieber in green energy and I would rather not support the oil industry.

If any position opens up for companies working towards a greener future I would
love to hear about them.",0
14,"Greetings,

The job opportunity looks great and I would normally jump at it but at
this time it would be difficult to make the change. I would love
to hear about other openings in the future if you would consider me again. ",0
15,"Hello,

I appreciate the consideration you have given me but I must decline. 
Best of luck on your search.

",0
16,"Hello,

The job requirements do fit my profile but I'm not that sure I
would like to make the change. My current job is about the same
and I was more interested in changing my field to Machine Learning
rather than staying were I am. If you have any positions related to
this I would love to be considered. My profile has been updated
with the skills I've been acquiring to make this move.

I hope I can hear from you again if something else opens up. ",0
17,"Hello,

I read the description and I really liked it. Please consider me
for an interview at your soonest convenience. ",1
18,"Hello,

I'm not interested in this position but if you have any openings for a more senior role 
I would definitely like to hear about it. ",0
19,"Good Morning,

Sorry for the late response but I've been very busy lately. I would
certainly like to be considered for the job.",1
20,"Hi,

Regarding the job opening, I don't think it would be a great fit for me at this time.
I'm still getting familiar with some of the requirements but perhaps in the future.

Regards.
",0
21,"Hi,

The description for the position looks great. I would be interested
in learning more about it and perhaps interviewing for it.",1
22,"Greetings, 

I've read through the job description and find that
it matches my profile perfectly. I would love to try to
interview for it if it is still available. I would also
be interested in any other such positions should I not be chosen
but something comes up in the future.

Regards.",1
23,"Hello,

The ML position looks good but I was wondering if the work was more
theoretical or practical? I've done my share of research but would really 
like to apply my knowledge to solve some domain specific problems. Will these
opportunities be available? ",0
24,"Greetings,

I saw the description for the job you sent me and I think it could be
a good change for me. It's a bit different from my usual roles but
I'm certainly up to the challenge. 

Regards. 
",1
25,"Hello,

Regarding the job profile, my expertise are not exactly what are being asked
but they are very related. Competing technologies in fact. I'm a quick learner
and if the company can provide training I can quickly get up to speed.

I would love to hear back with any details regarding this position.",0
26,"Hi,

Tho position mentions the need for 5+ years of experience in Java. Does the job require
server side java or will there be a lot of desktop application development? My
experience has been mainly towards mobile/web. On server side I've mainly worked with Go.

Is there freedom to choose the technologies we work with? ",0
27,"Hello,

Thank you very much for the information. If only I had known sooner but unfortunately
I just started a new project and I cannot go back on that commitment. I hope I can
be considered for future opportunities once I become available again. 

Regards. ",0
